營業行車次數(班次),,,,,,,,,,,,,,,,,,,,,,,
,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
日期,,,,,,,,,,,,,,,,,,,,,,,
111年03月,2473722,637222,874160,176980,277206,87477,245017,23418,7693,1302,6365,3043,3948,4669,15104,3440,3956,5973,57798,19235,5008,11904,2804
111年04月,2301969,589260,792376,168817,264455,85397,233274,22681,7015,1260,6086,2304,4756,6029,14390,3274,3618,5578,54326,18191,4864,11520,2498
111年05月,2302424,577152,775878,174565,272879,89226,242047,23523,8115,1302,6215,2501,4863,4711,14025,3719,3647,5495,54890,18243,5014,11904,2510
111年06月,2121465,507435,726154,167676,255860,84648,220017,22572,7057,1260,5577,1470,4714,4496,13117,3716,3441,5266,50831,17384,4854,11520,2400
111年07月,2231757,549988,774488,172523,263721,86839,221179,23626,7325,1302,5148,1516,5043,4490,13290,3234,3487,4599,53371,17182,5146,11966,2294
111年08月,2373864,615728,839743,173716,266517,88071,223090,23461,7572,1302,5322,1599,5045,4481,14389,3516,3819,4723,55086,17322,5134,11904,2324
111年09月,2303839,592648,803227,169286,258300,85596,228012,23176,7421,1260,5591,2904,4903,4170,14786,3804,3934,5700,52744,17599,4854,11520,2404
111年10月,2348286,600787,820162,173468,265121,87501,232839,23692,7520,1302,6072,3001,5079,4365,14813,4117,4076,5789,52718,16996,5026,11904,1938
111年11月,2333252,603289,821775,172370,259832,86844,220026,23179,7508,1260,5880,3172,4888,3842,14528,3921,4060,5766,54603,16480,4848,12741,2440
111年12月,2397920,625786,841465,174462,266758,89064,226811,23787,7682,1302,6071,3155,5069,3955,15209,4070,4171,5913,55849,17056,5014,12741,2530
112年,27016075,7175092,9277789,2028609,2940515,1034287,2530556,269414,88092,15330,72741,32458,59898,49411,176253,45835,53529,65655,649012,192217,81811,143055,34516
112年01月,2186602,549324,755097,166665,250259,86980,217066,22985,6764,1302,5416,2035,5124,3673,13650,3519,3906,5349,50642,15003,6748,12741,2354
112年02月,2090936,544115,720355,157012,233339,80225,202233,20978,6762,1176,5270,2045,4623,3402,13423,3474,3750,4812,48584,14964,6172,12006,2216
112年03月,2378606,633505,819868,173924,257006,88798,225675,22926,7780,1302,6385,3453,5079,4123,15673,4394,4420,6035,57529,17168,7420,12741,3402
112年04月,2193171,578081,748187,164559,241884,85700,207516,22396,6884,1260,6165,2763,4944,3997,14416,3808,4287,5456,52483,16147,6678,12330,3230
