年,月,縣市,營業行車次數
2018,7,宜蘭縣,17417
2018,7,屏東縣,9380
2018,7,彰化縣,4356
2018,7,新北市,669485
2018,7,新竹市,16611
2018,7,新竹縣,8119
2018,7,桃園市,173764
2018,7,澎湖縣,4589
2018,7,臺中市,284183
2018,7,臺北市,1032147
2018,7,臺南市,85086
2018,7,臺東縣,2542
2018,7,花蓮縣,2046
2018,7,苗栗縣,1240
2018,7,連江縣,2318
2018,7,金門縣,10724
2018,7,雲林縣,3658
2018,7,高雄市,271561
2018,8,南投縣,784
2018,8,嘉義市,2365
2018,8,嘉義縣,3558
2018,8,基隆市,62141
2018,8,宜蘭縣,17317
2018,8,屏東縣,9020
2018,8,彰化縣,4233
2018,8,新北市,682686
2018,8,新竹市,17176
2018,8,新竹縣,7596
2018,8,桃園市,174378
2018,8,澎湖縣,4754
2018,8,臺中市,298280
2018,8,臺北市,1045250
2018,8,臺南市,82383
2018,8,臺東縣,2542
2018,8,花蓮縣,1920
2018,8,苗栗縣,1240
2018,8,連江縣,2408
2018,8,金門縣,10724
2018,8,雲林縣,3594
2018,8,高雄市,212284
2018,9,南投縣,1008
2018,9,嘉義市,2292
2018,9,嘉義縣,3790
2018,9,基隆市,59664
2018,9,宜蘭縣,16425
2018,9,屏東縣,9731
2018,9,彰化縣,4672
2018,9,新北市,649618
2018,9,新竹市,17413
2018,9,新竹縣,4140
2018,9,桃園市,170882
2018,9,澎湖縣,5686
2018,9,臺中市,278098
2018,9,臺北市,991103
2018,9,臺南市,82907
2018,9,臺東縣,2760
2018,9,花蓮縣,1887
2018,9,苗栗縣,1200
2018,9,連江縣,2420
2018,9,金門縣,10724
2018,9,雲林縣,3572
2018,9,高雄市,264226
2018,10,南投縣,622
2018,10,嘉義市,2340
2018,10,嘉義縣,3842
2018,10,基隆市,63914
2018,10,宜蘭縣,16557
2018,10,屏東縣,10190
2018,10,彰化縣,5037
2018,10,新北市,689323
2018,10,新竹市,18299
2018,10,新竹縣,4278
2018,10,桃園市,186240
2018,10,澎湖縣,6026
2018,10,臺中市,290492
2018,10,臺北市,1053235
2018,10,臺南市,85908
2018,10,臺東縣,2542
2018,10,花蓮縣,2165
2018,10,苗栗縣,1240
2018,10,連江縣,2664
2018,10,金門縣,10724
2018,10,雲林縣,3658
2018,10,高雄市,277628
2018,11,南投縣,752
2018,11,嘉義市,2350
2018,11,嘉義縣,3642
2018,11,基隆市,69613
2018,11,宜蘭縣,16596
2018,11,屏東縣,9902
2018,11,彰化縣,5047
2018,11,新北市,690763
2018,11,新竹市,17745
2018,11,新竹縣,6644
2018,11,桃園市,187771
2018,11,澎湖縣,5878
2018,11,臺中市,278825
2018,11,臺北市,1004966
2018,11,臺南市,83104
2018,11,臺東縣,2250
2018,11,花蓮縣,2353
2018,11,苗栗縣,1200
2018,11,連江縣,2404
2018,11,金門縣,12005
2018,11,雲林縣,3658
2018,11,高雄市,277722
2018,12,南投縣,836
2018,12,嘉義市,2256
2018,12,嘉義縣,3811
2018,12,基隆市,70646
2018,12,宜蘭縣,25544
2018,12,屏東縣,10230
2018,12,彰化縣,4930
2018,12,新北市,690763
2018,12,新竹市,18243
2018,12,新竹縣,7300
2018,12,桃園市,193376
2018,12,澎湖縣,5991
2018,12,臺中市,285481
2018,12,臺北市,1017505
2018,12,臺南市,86213
2018,12,臺東縣,2325
2018,12,花蓮縣,2380
2018,12,苗栗縣,1240
2018,12,連江縣,2470
2018,12,金門縣,14984
2018,12,雲林縣,3558
2018,12,高雄市,280474
2019,1,南投縣,722
2019,1,嘉義市,2449
2019,1,嘉義縣,3761
2019,1,基隆市,72057
2019,1,宜蘭縣,25212
2019,1,屏東縣,9670
2019,1,彰化縣,4639
2019,1,新北市,689236
2019,1,新竹市,17634
2019,1,新竹縣,5779
2019,1,桃園市,195168
2019,1,澎湖縣,5523
2019,1,臺中市,287642
2019,1,臺北市,1021101
2019,1,臺南市,85931
2019,1,臺東縣,2250
2019,1,花蓮縣,2246
2019,1,苗栗縣,1240
2019,1,連江縣,2404
2019,1,金門縣,11718
2019,1,雲林縣,3678
2019,1,高雄市,271980
2019,2,南投縣,1666
2019,2,嘉義市,2185
2019,2,嘉義縣,3531
2019,2,基隆市,63753
2019,2,宜蘭縣,24824
2019,2,屏東縣,8953
2019,2,彰化縣,4193
2019,2,新北市,560674
2019,2,新竹市,15136
2019,2,新竹縣,5818
2019,2,桃園市,170897
2019,2,澎湖縣,5088
2019,2,臺中市,245680
2019,2,臺北市,840159
2019,2,臺南市,78549
2019,2,臺東縣,2100
2019,2,花蓮縣,2128
2019,2,苗栗縣,1120
2019,2,連江縣,2130
2019,2,金門縣,11350
2019,2,雲林縣,3392
2019,2,高雄市,247364
2019,3,南投縣,2416
2019,3,嘉義市,2365
2019,3,嘉義縣,3610
2019,3,基隆市,68952
2019,3,宜蘭縣,25847
2019,3,屏東縣,10145
2019,3,彰化縣,5168
2019,3,新北市,670898
2019,3,新竹市,17937
2019,3,新竹縣,6606
2019,3,桃園市,196108
2019,3,澎湖縣,6143
2019,3,臺中市,284020
2019,3,臺北市,1010960
2019,3,臺南市,88432
2019,3,臺東縣,2325
2019,3,花蓮縣,2772
2019,3,苗栗縣,1240
2019,3,連江縣,2462
2019,3,金門縣,11811
2019,3,雲林縣,3876
2019,3,高雄市,275276
2019,4,南投縣,2448
2019,4,嘉義市,2485
2019,4,嘉義縣,3342
2019,4,基隆市,68398
2019,4,宜蘭縣,24878
2019,4,屏東縣,9834
2019,4,彰化縣,4977
2019,4,新北市,654795
2019,4,新竹市,17430
2019,4,新竹縣,6370
2019,4,桃園市,190942
2019,4,澎湖縣,6596
2019,4,臺中市,275259
2019,4,臺北市,968463
2019,4,臺南市,85104
2019,4,臺東縣,2382
2019,4,花蓮縣,2669
2019,4,苗栗縣,1200
2019,4,連江縣,2388
2019,4,金門縣,10724
2019,4,雲林縣,3996
2019,4,高雄市,268062
2019,5,南投縣,2542
2019,5,嘉義市,2872
2019,5,嘉義縣,3322
2019,5,基隆市,73941
2019,5,宜蘭縣,24956
2019,5,屏東縣,10124
2019,5,彰化縣,5110
2019,5,新北市,691375
2019,5,新竹市,18123
2019,5,新竹縣,7228
2019,5,桃園市,198366
2019,5,澎湖縣,6039
2019,5,臺中市,291178
2019,5,臺北市,1012918
2019,5,臺南市,87853
2019,5,臺東縣,2483
2019,5,花蓮縣,3128
2019,5,苗栗縣,1240
2019,5,連江縣,2488
2019,5,金門縣,10724
2019,5,雲林縣,4077
2019,5,高雄市,277829
2019,6,南投縣,2168
2019,6,嘉義市,2816
2019,6,嘉義縣,3225
2019,6,基隆市,66289
2019,6,宜蘭縣,25177
2019,6,屏東縣,9709
2019,6,彰化縣,4550
2019,6,新北市,641524
2019,6,新竹市,17196
2019,6,新竹縣,6740
2019,6,桃園市,193095
2019,6,澎湖縣,5636
2019,6,臺中市,282832
2019,6,臺北市,952221
2019,6,臺南市,85380
2019,6,臺東縣,2386
2019,6,花蓮縣,3014
2019,6,苗栗縣,1200
2019,6,連江縣,2378
2019,6,金門縣,9735
2019,6,雲林縣,4092
2019,6,高雄市,266464
2019,7,南投縣,1150
2019,7,嘉義市,3162
2019,7,嘉義縣,2702
2019,7,基隆市,68031
2019,7,宜蘭縣,26520
2019,7,屏東縣,9483
2019,7,彰化縣,4693
2019,7,新北市,687015
2019,7,新竹市,16924
2019,7,新竹縣,7234
2019,7,桃園市,193037
