年,月,縣市,營業行車次數(班次)
2019,03,嘉義縣,3610
2019,03,基隆市,68952
2019,03,宜蘭縣,25847
2019,03,屏東縣,10145
2019,03,彰化縣,5168
2019,03,新北市,670898
2019,03,新竹市,17937
2019,03,新竹縣,6606
2019,03,桃園市,196108
2019,03,澎湖縣,6143
2019,03,臺中市,284020
2019,03,臺北市,1010960
2019,03,臺南市,88432
2019,03,臺東縣,2325
2019,03,花蓮縣,2772
2019,03,苗栗縣,1240
2019,03,連江縣,2462
2019,03,金門縣,11811
2019,03,雲林縣,3876
2019,03,高雄市,275276
2019,04,南投縣,2448
2019,04,嘉義市,2485
2019,04,嘉義縣,3342
2019,04,基隆市,68398
2019,04,宜蘭縣,24878
2019,04,屏東縣,9834
2019,04,彰化縣,4977
2019,04,新北市,654795
2019,04,新竹市,17430
2019,04,新竹縣,6370
2019,04,桃園市,190942
2019,04,澎湖縣,6596
2019,04,臺中市,275259
2019,04,臺北市,968463
2019,04,臺南市,85104
2019,04,臺東縣,2382
2019,04,花蓮縣,2669
2019,04,苗栗縣,1200
2019,04,連江縣,2388
2019,04,金門縣,10724
2019,04,雲林縣,3996
2019,04,高雄市,268062
2019,05,南投縣,2542
2019,05,嘉義市,2872
2019,05,嘉義縣,3322
2019,05,基隆市,73941
2019,05,宜蘭縣,24956
2019,05,屏東縣,10124
2019,05,彰化縣,5110
2019,05,新北市,691375
2019,05,新竹市,18123
2019,05,新竹縣,7228
2019,05,桃園市,198366
2019,05,澎湖縣,6039
2019,05,臺中市,291178
2019,05,臺北市,1012918
2019,05,臺南市,87853
2019,05,臺東縣,2483
2019,05,花蓮縣,3128
2019,05,苗栗縣,1240
2019,05,連江縣,2488
2019,05,金門縣,10724
2019,05,雲林縣,4077
2019,05,高雄市,277829
2019,06,南投縣,2168
2019,06,嘉義市,2816
2019,06,嘉義縣,3225
2019,06,基隆市,66289
2019,06,宜蘭縣,25177
2019,06,屏東縣,9709
2019,06,彰化縣,4550
2019,06,新北市,641524
2019,06,新竹市,17196
2019,06,新竹縣,6740
2019,06,桃園市,193095
2019,06,澎湖縣,5636
2019,06,臺中市,282832
2019,06,臺北市,952221
2019,06,臺南市,85380
2019,06,臺東縣,2386
2019,06,花蓮縣,3014
2019,06,苗栗縣,1200
2019,06,連江縣,2378
2019,06,金門縣,9735
2019,06,雲林縣,4092
2019,06,高雄市,266464
2019,07,南投縣,1150
2019,07,嘉義市,3162
2019,07,嘉義縣,2702
2019,07,基隆市,68031
2019,07,宜蘭縣,26520
2019,07,屏東縣,9483
2019,07,彰化縣,4693
2019,07,新北市,687015
2019,07,新竹市,16924
2019,07,新竹縣,7234
2019,07,桃園市,193037
2019,07,澎湖縣,4583
2019,07,臺中市,294864
2019,07,臺北市,1003772
2019,07,臺南市,87162
2019,07,臺東縣,2412
2019,07,花蓮縣,2743
2019,07,苗栗縣,1240
2019,07,連江縣,2294
2019,07,金門縣,12591
2019,07,雲林縣,4163
2019,07,高雄市,267688
2019,08,南投縣,1334
2019,08,嘉義市,3150
2019,08,嘉義縣,2789
2019,08,基隆市,67580
2019,08,宜蘭縣,25724
