年,路線方向,路段,交流道,縣市,進出口,週類別,交通輛數
2020,國3南向,非主線資料,沙鹿,臺中市,出口,週2-4,7877
2020,國3北向,非主線資料,沙鹿,臺中市,進口,週2-4,7633
2020,國3南向,非主線資料,沙鹿,臺中市,進口,週2-4,8190
2020,國3北向,非主線資料,沙鹿,臺中市,出口,週六,8069
2020,國3南向,非主線資料,沙鹿,臺中市,出口,週六,7927
2020,國3北向,非主線資料,沙鹿,臺中市,進口,週六,7584
2020,國3南向,非主線資料,沙鹿,臺中市,進口,週六,8048
2020,國3北向,非主線資料,沙鹿,臺中市,出口,週日,7737
2020,國3南向,非主線資料,沙鹿,臺中市,出口,週日,7788
2020,國3北向,非主線資料,沙鹿,臺中市,進口,週日,7723
2020,國3南向,非主線資料,沙鹿,臺中市,進口,週日,7405
2020,國1高架北向,非主線資料,泰山轉接道,新北市,出口,週2-4,23477
2020,國1北向,非主線資料,泰山轉接道,新北市,進口,週2-4,24286
2020,國1高架南向,非主線資料,泰山轉接道,新北市,進口,週2-4,26054
2020,國1高架北向,非主線資料,泰山轉接道,新北市,出口,週六,26947
2020,國1北向,非主線資料,泰山轉接道,新北市,進口,週六,27286
2020,國1高架南向,非主線資料,泰山轉接道,新北市,進口,週六,31632
2020,國1高架北向,非主線資料,泰山轉接道,新北市,出口,週日,27785
2020,國1北向,非主線資料,泰山轉接道,新北市,進口,週日,27993
2020,國1高架南向,非主線資料,泰山轉接道,新北市,進口,週日,28088
2020,國3甲東向,非主線資料,深坑端,宜蘭縣,出口,週2-4,33387
2020,國3甲西向,非主線資料,深坑端,宜蘭縣,進口,週2-4,17098
2020,國3甲東向,非主線資料,深坑端,宜蘭縣,出口,週六,33364
2020,國3甲西向,非主線資料,深坑端,宜蘭縣,進口,週六,17440
2020,國3甲東向,非主線資料,深坑端,宜蘭縣,出口,週日,28811
2020,國3甲西向,非主線資料,深坑端,宜蘭縣,進口,週日,17900
2020,國4西向,非主線資料,清水端,臺中市,出口,週2-4,14988
2020,國4東向,非主線資料,清水端,臺中市,進口,週2-4,15378
2020,國4西向,非主線資料,清水端,臺中市,出口,週六,15703
2020,國4東向,非主線資料,清水端,臺中市,進口,週六,15638
2020,國4西向,非主線資料,清水端,臺中市,出口,週日,14148
2020,國4東向,非主線資料,清水端,臺中市,進口,週日,15119
2020,國1北向,非主線資料,湖口,新竹縣,出口,週2-4,20288
2020,國1南向,非主線資料,湖口,新竹縣,出口,週2-4,12121
2020,國1北向,非主線資料,湖口,新竹縣,進口,週2-4,12119
2020,國1南向,非主線資料,湖口,新竹縣,進口,週2-4,20315
2020,國1北向,非主線資料,湖口,新竹縣,出口,週六,14345
2020,國1南向,非主線資料,湖口,新竹縣,出口,週六,9163
2020,國1北向,非主線資料,湖口,新竹縣,進口,週六,8453
2020,國1南向,非主線資料,湖口,新竹縣,進口,週六,13745
2020,國1北向,非主線資料,湖口,新竹縣,出口,週日,12656
2020,國1南向,非主線資料,湖口,新竹縣,出口,週日,8358
2020,國1北向,非主線資料,湖口,新竹縣,進口,週日,8807
2020,國1南向,非主線資料,湖口,新竹縣,進口,週日,12810
2020,國3北向,非主線資料,烏山頭,臺南市,出口,週2-4,2774
2020,國3南向,非主線資料,烏山頭,臺南市,出口,週2-4,927
2020,國3北向,非主線資料,烏山頭,臺南市,進口,週2-4,810
2020,國3南向,非主線資料,烏山頭,臺南市,進口,週2-4,2826
2020,國3北向,非主線資料,烏山頭,臺南市,出口,週六,3338
2020,國3南向,非主線資料,烏山頭,臺南市,出口,週六,990
2020,國3北向,非主線資料,烏山頭,臺南市,進口,週六,928
2020,國3南向,非主線資料,烏山頭,臺南市,進口,週六,3184
2020,國3北向,非主線資料,烏山頭,臺南市,出口,週日,3334
2020,國3南向,非主線資料,烏山頭,臺南市,出口,週日,1014
2020,國3北向,非主線資料,烏山頭,臺南市,進口,週日,1051
2020,國3南向,非主線資料,烏山頭,臺南市,進口,週日,3448
2020,國3北向,非主線資料,烏日,臺中市,出口,週2-4,5867
2020,國3南向,非主線資料,烏日,臺中市,出口,週2-4,6372
