年,月,行業別,營業額_千元,年月
2020,3,燃料及相關產品零售業,17295774,202003
2020,3,資通訊及家電設備零售業,18936411,202003
2020,3,汽機車及其零配件、用品零售業,55977704,202003
2020,3,電子購物及郵購業,25738666,202003
2020,3,餐飲業,50489651,202003
2020,4,百貨公司業,23506679,202004
2020,4,超級市場業,17932756,202004
2020,4,便利商店業,26417326,202004
2020,4,零售式量販業,15806028,202004
2020,4,其他綜合商品零售業,8573235,202004
2020,4,食品、飲料及菸草製品零售業,19301847,202004
2020,4,文教育樂用品零售業,6271128,202004
2020,4,燃料及相關產品零售業,13465694,202004
2020,4,資通訊及家電設備零售業,19073870,202004
2020,4,汽機車及其零配件、用品零售業,53018232,202004
2020,4,電子購物及郵購業,24118468,202004
2020,4,餐飲業,46515258,202004
2020,5,百貨公司業,27447425,202005
2020,5,超級市場業,17663126,202005
2020,5,便利商店業,28800988,202005
2020,5,零售式量販業,18037839,202005
2020,5,其他綜合商品零售業,9416004,202005
2020,5,食品、飲料及菸草製品零售業,20291588,202005
2020,5,文教育樂用品零售業,6902045,202005
2020,5,燃料及相關產品零售業,15155338,202005
2020,5,資通訊及家電設備零售業,20715747,202005
2020,5,汽機車及其零配件、用品零售業,54278605,202005
2020,5,電子購物及郵購業,25823850,202005
2020,5,餐飲業,59913418,202005
2020,6,百貨公司業,25253193,202006
2020,6,超級市場業,17155111,202006
2020,6,便利商店業,29596427,202006
2020,6,零售式量販業,16927791,202006
2020,6,其他綜合商品零售業,9095940,202006
2020,6,食品、飲料及菸草製品零售業,21042230,202006
2020,6,文教育樂用品零售業,6777316,202006
2020,6,燃料及相關產品零售業,17459575,202006
2020,6,資通訊及家電設備零售業,19983382,202006
2020,6,汽機車及其零配件、用品零售業,62180632,202006
2020,6,電子購物及郵購業,25173090,202006
2020,6,餐飲業,61546374,202006
2020,7,百貨公司業,28687618,202007
2020,7,超級市場業,18345434,202007
2020,7,便利商店業,34279833,202007
2020,7,零售式量販業,18800907,202007
2020,7,其他綜合商品零售業,10591568,202007
2020,7,食品、飲料及菸草製品零售業,21234441,202007
2020,7,文教育樂用品零售業,7915800,202007
2020,7,燃料及相關產品零售業,19582380,202007
2020,7,資通訊及家電設備零售業,23349328,202007
2020,7,汽機車及其零配件、用品零售業,69010860,202007
2020,7,電子購物及郵購業,25137838,202007
2020,7,餐飲業,66966678,202007
2020,8,百貨公司業,28899869,202008
2020,8,超級市場業,20518317,202008
2020,8,便利商店業,32251096,202008
2020,8,零售式量販業,22045874,202008
2020,8,其他綜合商品零售業,11343008,202008
2020,8,食品、飲料及菸草製品零售業,23493091,202008
2020,8,文教育樂用品零售業,8289374,202008
2020,8,燃料及相關產品零售業,19312936,202008
2020,8,資通訊及家電設備零售業,22259531,202008
2020,8,汽機車及其零配件、用品零售業,57056545,202008
2020,8,電子購物及郵購業,26171283,202008
2020,8,餐飲業,70726646,202008
2020,9,百貨公司業,28708746,202009
2020,9,超級市場業,18254490,202009
2020,9,便利商店業,28909368,202009
2020,9,零售式量販業,17568974,202009
2020,9,其他綜合商品零售業,9736728,202009
2020,9,食品、飲料及菸草製品零售業,27094446,202009
2020,9,文教育樂用品零售業,6788623,202009
2020,9,燃料及相關產品零售業,18619350,202009
2020,9,資通訊及家電設備零售業,19462330,202009
2020,9,汽機車及其零配件、用品零售業,58271052,202009
2020,9,電子購物及郵購業,23699015,202009
2020,9,餐飲業,62274227,202009
2020,0,百貨公司業,46915401,202000
2020,0,超級市場業,18702288,202000
2020,0,便利商店業,29264242,202000
2020,0,零售式量販業,17285812,202000
2020,0,其他綜合商品零售業,9908944,202000
2020,0,食品、飲料及菸草製品零售業,23763879,202000
2020,0,文教育樂用品零售業,6950810,202000
2020,0,燃料及相關產品零售業,18098069,202000
2020,0,資通訊及家電設備零售業,19533554,202000
2020,0,汽機車及其零配件、用品零售業,61429522,202000
2020,0,電子購物及郵購業,24408108,202000
2020,0,餐飲業,64199770,202000
2020,1,百貨公司業,39560254,202001
2020,1,超級市場業,17219552,202001
2020,1,便利商店業,29039224,202001
2020,1,零售式量販業,17552133,202001
