年月,年,月,行業別,用電量
2018年11月,2018,11,基本金屬製造業,1593923.6
2018年11月,2018,11,金屬製品製造業,581794.3
2018年11月,2018,11,電子產品及電力設備製造業,4175069.7
2018年11月,2018,11,住宅用電,3846694.4
2018年11月,2018,11,服務業用電,3932057.8
2018年11月,2018,11,運輸及倉儲業,234731
2018年11月,2018,11,住宿及餐飲業,600940.2
2018年11月,2018,11,出版影音及資通訊業,284745.1
2018年11月,2018,11,金融及保險業,157230.6
2018年11月,2018,11,不動產業,124448.7
2018年11月,2018,11,醫療保健及社會工作服務業,260297.5
2018年11月,2018,11,藝術、娛樂及休閒服務業,103792.8
2018年11月,2018,11,運輸用電,126706.6
2018年11月,2018,11,公路,5038.3
2018年11月,2018,11,鐵路,118681.5
2018年11月,2018,11,管線運輸,2986.7
2018年11月,2018,11,能源部門自用,1541948
2018年11月,2018,11,農業部門,244423.4
2018年12月,2018,12,全國用電量,20775686.1
2018年12月,2018,12,工業用電,12213413.5
2018年12月,2018,12,紡織成衣及服飾品製造業,481942.1
2018年12月,2018,12,紙漿、紙及紙製品製造業,302887.4
2018年12月,2018,12,化學材料及肥料製造業,2674833.9
2018年12月,2018,12,塑膠製品製造業,437295.4
2018年12月,2018,12,非金屬礦物製品製造業,503714.9
2018年12月,2018,12,基本金屬製造業,1623442.3
2018年12月,2018,12,金屬製品製造業,575369.8
2018年12月,2018,12,電子產品及電力設備製造業,4126407.8
2018年12月,2018,12,住宅用電,3012191.9
2018年12月,2018,12,服務業用電,3595365.5
2018年12月,2018,12,運輸及倉儲業,222320.5
2018年12月,2018,12,住宿及餐飲業,562215.5
2018年12月,2018,12,出版影音及資通訊業,273905.9
2018年12月,2018,12,金融及保險業,144091.8
2018年12月,2018,12,不動產業,115715.1
2018年12月,2018,12,醫療保健及社會工作服務業,246581.5
2018年12月,2018,12,藝術、娛樂及休閒服務業,98428.3
2018年12月,2018,12,運輸用電,130941.8
2018年12月,2018,12,公路,5219.3
2018年12月,2018,12,鐵路,122433.1
2018年12月,2018,12,管線運輸,3289.3
2018年12月,2018,12,能源部門自用,1585638.2
2018年12月,2018,12,農業部門,238134.9
2019年1月,2019,1,全國用電量,20846879.9
2019年1月,2019,1,工業用電,12202442.8
2019年1月,2019,1,紡織成衣及服飾品製造業,494025.8
2019年1月,2019,1,紙漿、紙及紙製品製造業,312449
2019年1月,2019,1,化學材料及肥料製造業,2678064
2019年1月,2019,1,塑膠製品製造業,445417.9
2019年1月,2019,1,非金屬礦物製品製造業,493076
2019年1月,2019,1,基本金屬製造業,1613462.4
2019年1月,2019,1,金屬製品製造業,569341.3
2019年1月,2019,1,電子產品及電力設備製造業,4082216.6
2019年1月,2019,1,住宅用電,3266792.6
2019年1月,2019,1,服務業用電,3496740.8
2019年1月,2019,1,運輸及倉儲業,219212.2
2019年1月,2019,1,住宿及餐飲業,527960.1
2019年1月,2019,1,出版影音及資通訊業,276460.4
2019年1月,2019,1,金融及保險業,140422
2019年1月,2019,1,不動產業,113671.2
2019年1月,2019,1,醫療保健及社會工作服務業,236938.2
2019年1月,2019,1,藝術、娛樂及休閒服務業,81213.9
2019年1月,2019,1,運輸用電,127567.2
2019年1月,2019,1,公路,5764.8
2019年1月,2019,1,鐵路,118602.9
2019年1月,2019,1,管線運輸,3199.3
2019年1月,2019,1,能源部門自用,1534303
2019年1月,2019,1,農業部門,219033.3
2019年2月,2019,2,全國用電量,18362423.2
2019年2月,2019,2,工業用電,10335066
2019年2月,2019,2,紡織成衣及服飾品製造業,391837.4
2019年2月,2019,2,紙漿、紙及紙製品製造業,248601.3
2019年2月,2019,2,化學材料及肥料製造業,2352375.7
2019年2月,2019,2,塑膠製品製造業,342024.9
2019年2月,2019,2,非金屬礦物製品製造業,398461.4
2019年2月,2019,2,基本金屬製造業,1346777.3
2019年2月,2019,2,金屬製品製造業,431732.1
2019年2月,2019,2,電子產品及電力設備製造業,3617303.2
2019年2月,2019,2,住宅用電,3188521.6
2019年2月,2019,2,服務業用電,3116511.9
2019年2月,2019,2,運輸及倉儲業,193817.3
2019年2月,2019,2,住宿及餐飲業,486375.1
2019年2月,2019,2,出版影音及資通訊業,253862.4
2019年2月,2019,2,金融及保險業,116505
2019年2月,2019,2,不動產業,99389.6
2019年2月,2019,2,醫療保健及社會工作服務業,211819.7
2019年2月,2019,2,藝術、娛樂及休閒服務業,85154.3
2019年2月,2019,2,運輸用電,122427.8
2019年2月,2019,2,公路,5471.3
2019年2月,2019,2,鐵路,113768.2
2019年2月,2019,2,管線運輸,3188.3
2019年2月,2019,2,能源部門自用,1380932.5
2019年2月,2019,2,農業部門,218963.2
2019年3月,2019,3,全國用電量,20853683.6
2019年3月,2019,3,工業用電,12160241.1
2019年3月,2019,3,紡織成衣及服飾品製造業,502855.2
2019年3月,2019,3,紙漿、紙及紙製品製造業,303517.1
2019年3月,2019,3,化學材料及肥料製造業,2609395.5
2019年3月,2019,3,塑膠製品製造業,436832.4
2019年3月,2019,3,非金屬礦物製品製造業,487650.2
2019年3月,2019,3,基本金屬製造業,1647197.7
2019年3月,2019,3,金屬製品製造業,539475.6
2019年3月,2019,3,電子產品及電力設備製造業,4164292.5
2019年3月,2019,3,住宅用電,3278133.2
2019年3月,2019,3,服務業用電,3432363.5
2019年3月,2019,3,運輸及倉儲業,218966.6
2019年3月,2019,3,住宿及餐飲業,517403.7
2019年3月,2019,3,出版影音及資通訊業,275705.6
2019年3月,2019,3,金融及保險業,130697.6
2019年3月,2019,3,不動產業,107753.7
2019年3月,2019,3,醫療保健及社會工作服務業,243389.6
2019年3月,2019,3,藝術、娛樂及休閒服務業,92420.7
2019年3月,2019,3,運輸用電,129527.1
2019年3月,2019,3,公路,5969.3
2019年3月,2019,3,鐵路,120372.3
2019年3月,2019,3,管線運輸,3185.3
2019年3月,2019,3,能源部門自用,1634252.9
2019年3月,2019,3,農業部門,219165.7
2019年4月,2019,4,全國用電量,20715771.7
2019年4月,2019,4,工業用電,12010815.2
2019年4月,2019,4,紡織成衣及服飾品製造業,491739.3
2019年4月,2019,4,紙漿、紙及紙製品製造業,280476.8
2019年4月,2019,4,化學材料及肥料製造業,2525727.3
2019年4月,2019,4,塑膠製品製造業,436623.4
2019年4月,2019,4,非金屬礦物製品製造業,473262.8
2019年4月,2019,4,基本金屬製造業,1571238.2
2019年4月,2019,4,金屬製品製造業,549447.1
2019年4月,2019,4,電子產品及電力設備製造業,4196175.6
2019年4月,2019,4,住宅用電,3203662.4
2019年4月,2019,4,服務業用電,3565863
2019年4月,2019,4,運輸及倉儲業,244086.8
2019年4月,2019,4,住宿及餐飲業,528426.9
2019年4月,2019,4,出版影音及資通訊業,272155.1
2019年4月,2019,4,金融及保險業,136995.9
2019年4月,2019,4,不動產業,109910.9
2019年4月,2019,4,醫療保健及社會工作服務業,263630.5
2019年4月,2019,4,藝術、娛樂及休閒服務業,98034.7
2019年4月,2019,4,運輸用電,130459.3
2019年4月,2019,4,公路,6042.6
2019年4月,2019,4,鐵路,121407.3
2019年4月,2019,4,管線運輸,3009.4
2019年4月,2019,4,能源部門自用,1575480.5
2019年4月,2019,4,農業部門,229491
2019年5月,2019,5,全國用電量,22469640.8
2019年5月,2019,5,工業用電,12784619.3
2019年5月,2019,5,紡織成衣及服飾品製造業,522071.9
2019年5月,2019,5,紙漿、紙及紙製品製造業,313205.6
2019年5月,2019,5,化學材料及肥料製造業,2699127.6
2019年5月,2019,5,塑膠製品製造業,471440.3
2019年5月,2019,5,非金屬礦物製品製造業,490891.6
2019年5月,2019,5,基本金屬製造業,1623202.8
2019年5月,2019,5,金屬製品製造業,580975.5
2019年5月,2019,5,電子產品及電力設備製造業,4456815.4
2019年5月,2019,5,住宅用電,3520947.7
2019年5月,2019,5,服務業用電,4041492.3
2019年5月,2019,5,運輸及倉儲業,269058.8
2019年5月,2019,5,住宿及餐飲業,623724
2019年5月,2019,5,出版影音及資通訊業,298129.2
2019年5月,2019,5,金融及保險業,159078.6
2019年5月,2019,5,不動產業,124740.5
2019年5月,2019,5,醫療保健及社會工作服務業,290659.3
2019年5月,2019,5,藝術、娛樂及休閒服務業,110965.3
2019年5月,2019,5,運輸用電,132238.4
2019年5月,2019,5,公路,6314.4
2019年5月,2019,5,鐵路,122676.9
2019年5月,2019,5,管線運輸,3247.1
2019年5月,2019,5,能源部門自用,1737170.1
2019年5月,2019,5,農業部門,253172.7
2019年6月,2019,6,全國用電量,22780988.4
2019年6月,2019,6,工業用電,12377739.6
2019年6月,2019,6,紡織成衣及服飾品製造業,484711.6
2019年6月,2019,6,紙漿、紙及紙製品製造業,295604.1
2019年6月,2019,6,化學材料及肥料製造業,2588256.3
2019年6月,2019,6,塑膠製品製造業,447009
2019年6月,2019,6,非金屬礦物製品製造業,482053.6
2019年6月,2019,6,基本金屬製造業,1525924.3
2019年6月,2019,6,金屬製品製造業,557920.2
2019年6月,2019,6,電子產品及電力設備製造業,4351516.5
2019年6月,2019,6,住宅用電,4090440.7
2019年6月,2019,6,服務業用電,4198287.4
2019年6月,2019,6,運輸及倉儲業,284417.2
2019年6月,2019,6,住宿及餐飲業,655783
2019年6月,2019,6,出版影音及資通訊業,291644.9
2019年6月,2019,6,金融及保險業,161579.2
2019年6月,2019,6,不動產業,125734.5
2019年6月,2019,6,醫療保健及社會工作服務業,307386.3
2019年6月,2019,6,藝術、娛樂及休閒服務業,118725.5
2019年6月,2019,6,運輸用電,131772.8
2019年6月,2019,6,公路,6458.1
2019年6月,2019,6,鐵路,122244.2
2019年6月,2019,6,管線運輸,3070.4
2019年6月,2019,6,能源部門自用,1720894
2019年6月,2019,6,農業部門,261853.7
2019年7月,2019,7,全國用電量,24146702.4
2019年7月,2019,7,工業用電,13186971.2
2019年7月,2019,7,紡織成衣及服飾品製造業,522443.4
2019年7月,2019,7,紙漿、紙及紙製品製造業,321680
2019年7月,2019,7,化學材料及肥料製造業,2784668.5
2019年7月,2019,7,塑膠製品製造業,479602.6
2019年7月,2019,7,非金屬礦物製品製造業,492539.7
2019年7月,2019,7,基本金屬製造業,1570882.8
2019年7月,2019,7,金屬製品製造業,590768
2019年7月,2019,7,電子產品及電力設備製造業,4680534.3
2019年7月,2019,7,住宅用電,4354231.2
2019年7月,2019,7,服務業用電,4436938.1
2019年7月,2019,7,運輸及倉儲業,304241.4
2019年7月,2019,7,住宿及餐飲業,712343.8
2019年7月,2019,7,出版影音及資通訊業,307774.6
2019年7月,2019,7,金融及保險業,182810.7
2019年7月,2019,7,不動產業,130476.6
2019年7月,2019,7,醫療保健及社會工作服務業,340387.7
2019年7月,2019,7,藝術、娛樂及休閒服務業,131912.3
2019年7月,2019,7,運輸用電,138056.5
2019年7月,2019,7,公路,6768
2019年7月,2019,7,鐵路,128156.5
2019年7月,2019,7,管線運輸,3131.9
2019年7月,2019,7,能源部門自用,1762690.4
2019年7月,2019,7,農業部門,267814.8
2019年8月,2019,8,全國用電量,24853146.6
2019年8月,2019,8,工業用電,13209471.4
2019年8月,2019,8,紡織成衣及服飾品製造業,519783.8
2019年8月,2019,8,紙漿、紙及紙製品製造業,307297.5
2019年8月,2019,8,化學材料及肥料製造業,2814182.7
2019年8月,2019,8,塑膠製品製造業,481536
2019年8月,2019,8,非金屬礦物製品製造業,493734.3
2019年8月,2019,8,基本金屬製造業,1563444.7
2019年8月,2019,8,金屬製品製造業,596896.6
2019年8月,2019,8,電子產品及電力設備製造業,4692077.2
2019年8月,2019,8,住宅用電,4879273.5
2019年8月,2019,8,服務業用電,4523003.5
2019年8月,2019,8,運輸及倉儲業,317070.3
2019年8月,2019,8,住宿及餐飲業,749898
2019年8月,2019,8,出版影音及資通訊業,309122.3
2019年8月,2019,8,金融及保險業,177900.7
2019年8月,2019,8,不動產業,119522.4
2019年8月,2019,8,醫療保健及社會工作服務業,345417.5
2019年8月,2019,8,藝術、娛樂及休閒服務業,141533.7
2019年8月,2019,8,運輸用電,136473.9
2019年8月,2019,8,公路,6860.2
2019年8月,2019,8,鐵路,126210.1
2019年8月,2019,8,管線運輸,3403.4
2019年8月,2019,8,能源部門自用,1811451.4
2019年8月,2019,8,農業部門,293472.7
2019年9月,2019,9,全國用電量,24187347.4
2019年9月,2019,9,工業用電,12300102.8
2019年9月,2019,9,紡織成衣及服飾品製造業,479262.2
2019年9月,2019,9,紙漿、紙及紙製品製造業,294240.1
2019年9月,2019,9,化學材料及肥料製造業,2452983.6
2019年9月,2019,9,塑膠製品製造業,453583
2019年9月,2019,9,非金屬礦物製品製造業,470419.2
2019年9月,2019,9,基本金屬製造業,1488499
2019年9月,2019,9,金屬製品製造業,561849.3
2019年9月,2019,9,電子產品及電力設備製造業,4431567.7
2019年9月,2019,9,住宅用電,5398176.8
2019年9月,2019,9,服務業用電,4491901.8
2019年9月,2019,9,運輸及倉儲業,304888.2
2019年9月,2019,9,住宿及餐飲業,769750.3
2019年9月,2019,9,出版影音及資通訊業,311208.9
2019年9月,2019,9,金融及保險業,173947
2019年9月,2019,9,不動產業,110835.3
2019年9月,2019,9,醫療保健及社會工作服務業,317692.1
2019年9月,2019,9,藝術、娛樂及休閒服務業,137755.8
2019年9月,2019,9,運輸用電,132293.3
2019年9月,2019,9,公路,7108.3
2019年9月,2019,9,鐵路,122068.5
2019年9月,2019,9,管線運輸,3116.4
