年,縣市,行政區,店面數,土地面積,超商密度,月
2018,高雄市,橋頭區,5,25.9379,0.192768,2
2018,高雄市,燕巢區,4,65.3950,0.061167,2
2018,高雄市,彌陀區,1,14.7772,0.067672,2
2018,高雄市,鹽埕區,8,1.4161,5.649318,2
2018,基隆市,七堵區,19,56.2659,0.337682,2
2018,基隆市,中山區,12,10.5238,1.140273,2
2018,基隆市,中正區,19,10.2118,1.860593,2
2018,基隆市,仁愛區,21,4.2335,4.960435,2
2018,基隆市,安樂區,22,18.0250,1.220527,2
2018,基隆市,信義區,11,10.6706,1.030870,2
2018,基隆市,暖暖區,11,22.8283,0.481858,2
2018,連江縣,北竿鄉,1,9.9000,0.101010,2
2018,連江縣,東引鄉,1,3.8000,0.263158,2
2018,連江縣,南竿鄉,2,10.4000,0.192308,2
2018,雲林縣,二崙鄉,3,59.5625,0.050367,2
2018,雲林縣,口湖鄉,2,80.4612,0.024857,2
2018,雲林縣,土庫鎮,3,49.0212,0.061198,2
2018,雲林縣,大埤鄉,3,44.9973,0.066671,2
2018,雲林縣,斗六市,29,93.7151,0.309449,2
2018,雲林縣,斗南鎮,7,48.1505,0.145378,2
2018,雲林縣,北港鎮,5,41.4999,0.120482,2
2018,雲林縣,古坑鄉,2,166.6059,0.012004,2
2018,雲林縣,四湖鄉,1,77.1189,0.012967,2
2018,雲林縣,西螺鎮,10,49.7985,0.200809,2
2018,雲林縣,東勢鄉,1,48.3562,0.020680,2
2018,雲林縣,林內鄉,1,37.6035,0.026593,2
2018,雲林縣,虎尾鎮,21,68.7420,0.305490,2
2018,雲林縣,崙背鄉,3,58.4840,0.051296,2
2018,雲林縣,麥寮鄉,8,80.1668,0.099792,2
2018,雲林縣,莿桐鄉,5,50.8502,0.098328,2
2018,雲林縣,臺西鄉,3,54.0983,0.055455,2
2018,雲林縣,褒忠鄉,2,37.0552,0.053974,2
2018,新北市,八里區,15,39.4933,0.379811,2
2018,新北市,三芝區,4,65.9909,0.060614,2
2018,新北市,三重區,123,16.3170,7.538151,2
2018,新北市,三峽區,33,191.4508,0.172368,2
2018,新北市,土城區,60,29.5578,2.029921,2
2018,新北市,中和區,118,20.1440,5.857824,2
2018,新北市,五股區,30,34.8632,0.860506,2
2018,新北市,平溪區,3,71.3382,0.042053,2
2018,新北市,永和區,49,5.7138,8.575729,2
2018,新北市,石門區,1,51.2645,0.019507,2
2018,新北市,石碇區,1,144.3498,0.006928,2
2018,新北市,汐止區,64,71.2354,0.898430,2
2018,新北市,坪林區,1,170.8350,0.005854,2
2018,新北市,林口區,40,54.1519,0.738663,2
2018,新北市,板橋區,148,23.1373,6.396598,2
