月,年,月2,修改,行業別,營業額_千元,日期格式
2020年7月,2020,7月,7,便利商店業,34279833.0,2020-07-01
2020年7月,2020,7月,7,零售式量販業,18800907.0,2020-07-01
2020年7月,2020,7月,7,其他綜合商品零售業,10591568.0,2020-07-01
2020年7月,2020,7月,7,食品、飲料及菸草製品零售業,21234441.0,2020-07-01
2020年7月,2020,7月,7,文教育樂用品零售業,7915800.0,2020-07-01
2020年7月,2020,7月,7,燃料及相關產品零售業,19582380.0,2020-07-01
2020年7月,2020,7月,7,資通訊及家電設備零售業,23349328.0,2020-07-01
2020年7月,2020,7月,7,汽機車及其零配件、用品零售業,69010860.0,2020-07-01
2020年7月,2020,7月,7,電子購物及郵購業,25137838.0,2020-07-01
2020年7月,2020,7月,7,餐飲業,66966678.0,2020-07-01
2020年8月,2020,8月,8,百貨公司業,28899869.0,2020-08-01
2020年8月,2020,8月,8,超級市場業,20518317.0,2020-08-01
2020年8月,2020,8月,8,便利商店業,32251096.0,2020-08-01
