月,年,月2,修改,行業別,營業額_千元,日期格式
2025年10月,2025,10月,10,餐飲業,89469815.0,2025-10-01
2025年11月,2025,11月,11,百貨公司業,49906377.0,2025-11-01
2025年11月,2025,11月,11,超級市場業,22834485.0,2025-11-01
2025年11月,2025,11月,11,便利商店業,37272873.0,2025-11-01
2025年11月,2025,11月,11,零售式量販業,23783986.0,2025-11-01
2025年11月,2025,11月,11,其他綜合商品零售業,13754536.0,2025-11-01
2025年11月,2025,11月,11,食品、飲料及菸草製品零售業,24915515.0,2025-11-01
2025年11月,2025,11月,11,文教育樂用品零售業,8147612.0,2025-11-01
2025年11月,2025,11月,11,燃料及相關產品零售業,20343867.0,2025-11-01
2025年11月,2025,11月,11,資通訊及家電設備零售業,27675463.0,2025-11-01
2025年11月,2025,11月,11,汽機車及其零配件、用品零售業,70312264.0,2025-11-01
2025年11月,2025,11月,11,電子購物及郵購業,55356355.0,2025-11-01
2025年11月,2025,11月,11,餐飲業,88845446.0,2025-11-01
2025年12月,2025,12月,12,百貨公司業,39921836.0,2025-12-01
2025年12月,2025,12月,12,超級市場業,22186855.0,2025-12-01
2025年12月,2025,12月,12,便利商店業,37479078.0,2025-12-01
2025年12月,2025,12月,12,零售式量販業,21673043.0,2025-12-01
2025年12月,2025,12月,12,其他綜合商品零售業,14620371.0,2025-12-01
2025年12月,2025,12月,12,食品、飲料及菸草製品零售業,28388301.0,2025-12-01
2025年12月,2025,12月,12,文教育樂用品零售業,8632615.0,2025-12-01
2025年12月,2025,12月,12,燃料及相關產品零售業,20839910.0,2025-12-01
2025年12月,2025,12月,12,資通訊及家電設備零售業,25119612.0,2025-12-01
2025年12月,2025,12月,12,汽機車及其零配件、用品零售業,83452649.0,2025-12-01
2025年12月,2025,12月,12,電子購物及郵購業,43864191.0,2025-12-01
2025年12月,2025,12月,12,餐飲業,94952739.0,2025-12-01
2026年1月,2026,1月,1,百貨公司業,40552225.0,2026-01-01
2026年1月,2026,1月,1,超級市場業,22098389.0,2026-01-01
2026年1月,2026,1月,1,便利商店業,38070156.0,2026-01-01
2026年1月,2026,1月,1,零售式量販業,24887964.0,2026-01-01
2026年1月,2026,1月,1,其他綜合商品零售業,14299058.0,2026-01-01
2026年1月,2026,1月,1,食品、飲料及菸草製品零售業,29576068.0,2026-01-01
2026年1月,2026,1月,1,文教育樂用品零售業,8437742.0,2026-01-01
2026年1月,2026,1月,1,燃料及相關產品零售業,20345676.0,2026-01-01
2026年1月,2026,1月,1,資通訊及家電設備零售業,25311626.0,2026-01-01
2026年1月,2026,1月,1,汽機車及其零配件、用品零售業,72514833.0,2026-01-01
2026年1月,2026,1月,1,電子購物及郵購業,43754042.0,2026-01-01
2026年1月,2026,1月,1,餐飲業,96702449.0,2026-01-01
2026年2月,2026,2月,2,百貨公司業,42696798.0,2026-02-01
2026年2月,2026,2月,2,超級市場業,22075999.0,2026-02-01
2026年2月,2026,2月,2,便利商店業,34838912.0,2026-02-01
2026年2月,2026,2月,2,零售式量販業,23804197.0,2026-02-01
2026年2月,2026,2月,2,其他綜合商品零售業,14506849.0,2026-02-01
2026年2月,2026,2月,2,食品、飲料及菸草製品零售業,27505632.0,2026-02-01
2026年2月,2026,2月,2,文教育樂用品零售業,8000122.0,2026-02-01
2026年2月,2026,2月,2,燃料及相關產品零售業,18364652.0,2026-02-01
2026年2月,2026,2月,2,資通訊及家電設備零售業,23033433.0,2026-02-01
2026年2月,2026,2月,2,汽機車及其零配件、用品零售業,46023050.0,2026-02-01
2026年2月,2026,2月,2,電子購物及郵購業,36382145.0,2026-02-01
2026年2月,2026,2月,2,餐飲業,100337633.0,2026-02-01
