年月,年,月,家用產品,銷售額_千元,年月KEY
2021-07-01,2021,7,熱水器,275106.0,202107
2021-07-01,2021,7,瓦斯爐,180982.0,202107
2021-07-01,2021,7,其他家用電器及零組件,1335101.0,202107
2021-08-01,2021,8,家用電扇,391455.0,202108
2021-08-01,2021,8,電冰箱,467701.0,202108
2021-08-01,2021,8,排油煙機,272565.0,202108
2021-08-01,2021,8,熱水器,290002.0,202108
2021-08-01,2021,8,瓦斯爐,254045.0,202108
2021-08-01,2021,8,其他家用電器及零組件,1231719.0,202108
2021-09-01,2021,9,家用電扇,437218.0,202109
2021-09-01,2021,9,電冰箱,407337.0,202109
2021-09-01,2021,9,排油煙機,277061.0,202109
2021-09-01,2021,9,熱水器,255376.0,202109
2021-09-01,2021,9,瓦斯爐,245522.0,202109
2021-09-01,2021,9,其他家用電器及零組件,1300213.0,202109
2021-10-01,2021,10,家用電扇,440862.0,202110
2021-10-01,2021,10,電冰箱,503936.0,202110
2021-10-01,2021,10,排油煙機,278564.0,202110
2021-10-01,2021,10,熱水器,315506.0,202110
2021-10-01,2021,10,瓦斯爐,257866.0,202110
2021-10-01,2021,10,其他家用電器及零組件,1347349.0,202110
2021-11-01,2021,11,家用電扇,384222.0,202111
2021-11-01,2021,11,電冰箱,523219.0,202111
2021-11-01,2021,11,排油煙機,308660.0,202111
2021-11-01,2021,11,熱水器,359027.0,202111
2021-11-01,2021,11,瓦斯爐,271034.0,202111
2021-11-01,2021,11,其他家用電器及零組件,1342679.0,202111
2021-12-01,2021,12,家用電扇,480882.0,202112
2021-12-01,2021,12,電冰箱,603675.0,202112
2021-12-01,2021,12,排油煙機,315607.0,202112
2021-12-01,2021,12,熱水器,422883.0,202112
2021-12-01,2021,12,瓦斯爐,280511.0,202112
2021-12-01,2021,12,其他家用電器及零組件,1422783.0,202112
2022-01-01,2022,1,家用電扇,535908.0,202201
2022-01-01,2022,1,電冰箱,627617.0,202201
2022-01-01,2022,1,排油煙機,343152.0,202201
2022-01-01,2022,1,熱水器,466361.0,202201
2022-01-01,2022,1,瓦斯爐,327174.0,202201
2022-01-01,2022,1,其他家用電器及零組件,1335469.0,202201
2022-02-01,2022,2,家用電扇,319374.0,202202
2022-02-01,2022,2,電冰箱,355448.0,202202
2022-02-01,2022,2,排油煙機,232410.0,202202
2022-02-01,2022,2,熱水器,312148.0,202202
2022-02-01,2022,2,瓦斯爐,175050.0,202202
2022-02-01,2022,2,其他家用電器及零組件,868199.0,202202
2022-03-01,2022,3,家用電扇,643627.0,202203
2022-03-01,2022,3,電冰箱,445981.0,202203
2022-03-01,2022,3,排油煙機,301191.0,202203
2022-03-01,2022,3,熱水器,479065.0,202203
2022-03-01,2022,3,瓦斯爐,279182.0,202203
2022-03-01,2022,3,其他家用電器及零組件,1159713.0,202203
2022-04-01,2022,4,家用電扇,591224.0,202204
2022-04-01,2022,4,電冰箱,525638.0,202204
2022-04-01,2022,4,排油煙機,266122.0,202204
