年,月,年月,縣市,營業行車次數_班次,年月KEY
2017,4,2017-04-01,新竹縣,7104.0,201704
2017,4,2017-04-01,桃園市,168533.0,201704
2017,4,2017-04-01,澎湖縣,6770.0,201704
2017,4,2017-04-01,臺中市,257437.0,201704
2017,4,2017-04-01,臺北市,1003870.0,201704
2017,4,2017-04-01,臺南市,80331.0,201704
2017,4,2017-04-01,臺東縣,2460.0,201704
2017,4,2017-04-01,花蓮縣,1599.0,201704
2017,4,2017-04-01,苗栗縣,1200.0,201704
2017,4,2017-04-01,連江縣,2364.0,201704
2017,4,2017-04-01,金門縣,10665.0,201704
2017,4,2017-04-01,雲林縣,3551.0,201704
2017,4,2017-04-01,高雄市,243092.0,201704
2017,5,2017-05-01,南投縣,936.0,201705
2017,5,2017-05-01,嘉義市,1612.0,201705
2017,5,2017-05-01,嘉義縣,3077.0,201705
2017,5,2017-05-01,基隆市,63248.0,201705
2017,5,2017-05-01,宜蘭縣,11943.0,201705
2017,5,2017-05-01,屏東縣,8557.0,201705
2017,5,2017-05-01,彰化縣,3520.0,201705
2017,5,2017-05-01,新北市,685360.0,201705
2017,5,2017-05-01,新竹市,19148.0,201705
2017,5,2017-05-01,新竹縣,7467.0,201705
2017,5,2017-05-01,桃園市,173886.0,201705
2017,5,2017-05-01,澎湖縣,7152.0,201705
2017,5,2017-05-01,臺中市,269243.0,201705
2017,5,2017-05-01,臺北市,1063990.0,201705
2017,5,2017-05-01,臺南市,82718.0,201705
2017,5,2017-05-01,臺東縣,2542.0,201705
2017,5,2017-05-01,花蓮縣,2294.0,201705
2017,5,2017-05-01,苗栗縣,1240.0,201705
2017,5,2017-05-01,連江縣,2562.0,201705
2017,5,2017-05-01,金門縣,10997.0,201705
2017,5,2017-05-01,雲林縣,3682.0,201705
2017,5,2017-05-01,高雄市,251019.0,201705
2017,6,2017-06-01,南投縣,718.0,201706
2017,6,2017-06-01,嘉義市,1560.0,201706
2017,6,2017-06-01,嘉義縣,2958.0,201706
2017,6,2017-06-01,基隆市,56563.0,201706
2017,6,2017-06-01,宜蘭縣,11523.0,201706
2017,6,2017-06-01,屏東縣,8188.0,201706
2017,6,2017-06-01,彰化縣,3495.0,201706
2017,6,2017-06-01,新北市,670941.0,201706
2017,6,2017-06-01,新竹市,18498.0,201706
2017,6,2017-06-01,新竹縣,7658.0,201706
