年,月,年月,居住地,年齡層,性別,旅客數,年月KEY
2023,7,2023-07-01,非洲地區(Africa),1-12歲,男,3,202307
2023,7,2023-07-01,美洲地區(Americas),1-12歲,男,4060,202307
2023,7,2023-07-01,大洋洲地區(Oceania),1-12歲,男,1170,202307
2023,7,2023-07-01,歐洲地區(Europe),1-12歲,男,1319,202307
2023,7,2023-07-01,其他未列明(Unknow),1-12歲,男,75,202307
2023,8,2023-08-01,亞洲地區(Asia),1-12歲,男,61767,202308
2023,8,2023-08-01,非洲地區(Africa),1-12歲,男,0,202308
2023,8,2023-08-01,美洲地區(Americas),1-12歲,男,2546,202308
2023,8,2023-08-01,大洋洲地區(Oceania),1-12歲,男,740,202308
2023,8,2023-08-01,歐洲地區(Europe),1-12歲,男,1000,202308
2023,8,2023-08-01,其他未列明(Unknow),1-12歲,男,241,202308
2023,9,2023-09-01,亞洲地區(Asia),1-12歲,男,23023,202309
2023,9,2023-09-01,非洲地區(Africa),1-12歲,男,3,202309
2023,9,2023-09-01,美洲地區(Americas),1-12歲,男,725,202309
2023,9,2023-09-01,大洋洲地區(Oceania),1-12歲,男,296,202309
2023,9,2023-09-01,歐洲地區(Europe),1-12歲,男,327,202309
2023,9,2023-09-01,其他未列明(Unknow),1-12歲,男,105,202309
2023,10,2023-10-01,亞洲地區(Asia),1-12歲,男,28004,202310
2023,10,2023-10-01,非洲地區(Africa),1-12歲,男,1,202310
2023,10,2023-10-01,美洲地區(Americas),1-12歲,男,480,202310
2023,10,2023-10-01,大洋洲地區(Oceania),1-12歲,男,437,202310
2023,10,2023-10-01,歐洲地區(Europe),1-12歲,男,211,202310
2023,10,2023-10-01,其他未列明(Unknow),1-12歲,男,2,202310
2023,11,2023-11-01,亞洲地區(Asia),1-12歲,男,21312,202311
2023,11,2023-11-01,非洲地區(Africa),1-12歲,男,0,202311
2023,11,2023-11-01,美洲地區(Americas),1-12歲,男,463,202311
2023,11,2023-11-01,大洋洲地區(Oceania),1-12歲,男,237,202311
2023,11,2023-11-01,歐洲地區(Europe),1-12歲,男,196,202311
2023,11,2023-11-01,其他未列明(Unknow),1-12歲,男,0,202311
2023,12,2023-12-01,亞洲地區(Asia),1-12歲,男,27270,202312
2023,12,2023-12-01,非洲地區(Africa),1-12歲,男,3,202312
2023,12,2023-12-01,美洲地區(Americas),1-12歲,男,786,202312
2023,12,2023-12-01,大洋洲地區(Oceania),1-12歲,男,408,202312
2023,12,2023-12-01,歐洲地區(Europe),1-12歲,男,305,202312
2023,12,2023-12-01,其他未列明(Unknow),1-12歲,男,5,202312
2024,1,2024-01-01,亞洲地區(Asia),1-12歲,男,62053,202401
2024,1,2024-01-01,非洲地區(Africa),1-12歲,男,2,202401
2024,1,2024-01-01,美洲地區(Americas),1-12歲,男,1410,202401
2024,1,2024-01-01,大洋洲地區(Oceania),1-12歲,男,1178,202401
2024,1,2024-01-01,歐洲地區(Europe),1-12歲,男,518,202401
2024,1,2024-01-01,其他未列明(Unknow),1-12歲,男,1,202401
2024,2,2024-02-01,亞洲地區(Asia),1-12歲,男,62236,202402
2024,2,2024-02-01,非洲地區(Africa),1-12歲,男,1,202402
2024,2,2024-02-01,美洲地區(Americas),1-12歲,男,1122,202402
2024,2,2024-02-01,大洋洲地區(Oceania),1-12歲,男,798,202402
2024,2,2024-02-01,歐洲地區(Europe),1-12歲,男,555,202402
2024,2,2024-02-01,其他未列明(Unknow),1-12歲,男,3,202402
2024,3,2024-03-01,亞洲地區(Asia),1-12歲,男,31557,202403
2024,3,2024-03-01,非洲地區(Africa),1-12歲,男,1,202403
2024,3,2024-03-01,美洲地區(Americas),1-12歲,男,674,202403
2024,3,2024-03-01,大洋洲地區(Oceania),1-12歲,男,366,202403
2024,3,2024-03-01,歐洲地區(Europe),1-12歲,男,314,202403
2024,3,2024-03-01,其他未列明(Unknow),1-12歲,男,0,202403
2024,4,2024-04-01,亞洲地區(Asia),1-12歲,男,36339,202404
2024,4,2024-04-01,非洲地區(Africa),1-12歲,男,0,202404
2024,4,2024-04-01,美洲地區(Americas),1-12歲,男,735,202404
2024,4,2024-04-01,大洋洲地區(Oceania),1-12歲,男,447,202404
2024,4,2024-04-01,歐洲地區(Europe),1-12歲,男,302,202404
