年,季,日期標準,縣市,鄉鎮市區,住宅拍賣移轉筆數,年月,日期格式
2018,1,2018-01-01,臺東縣,台東市,1,201801,2018-01-01
2018,1,2018-01-01,臺東縣,大武鄉,1,201801,2018-01-01
2018,1,2018-01-01,臺東縣,太麻里鄉,1,201801,2018-01-01
2018,1,2018-01-01,花蓮縣,花蓮市,2,201801,2018-01-01
2018,1,2018-01-01,花蓮縣,玉里鎮,1,201801,2018-01-01
2018,1,2018-01-01,花蓮縣,吉安鄉,3,201801,2018-01-01
2018,1,2018-01-01,澎湖縣,馬公市,1,201801,2018-01-01
2018,1,2018-01-01,澎湖縣,湖西鄉,1,201801,2018-01-01
2018,1,2018-01-01,澎湖縣,白沙鄉,1,201801,2018-01-01
2018,1,2018-01-01,基隆市,中正區,4,201801,2018-01-01
2018,1,2018-01-01,基隆市,七堵區,1,201801,2018-01-01
2018,1,2018-01-01,基隆市,暖暖區,2,201801,2018-01-01
2018,1,2018-01-01,基隆市,仁愛區,3,201801,2018-01-01
2018,1,2018-01-01,基隆市,中山區,1,201801,2018-01-01
2018,1,2018-01-01,基隆市,安樂區,2,201801,2018-01-01
2018,1,2018-01-01,新竹市,新竹市,17,201801,2018-01-01
2018,1,2018-01-01,嘉義市,嘉義市,14,201801,2018-01-01
2018,2,2018-01-04,新北市,板橋區,17,201801,2018-04-01
2018,2,2018-01-04,新北市,三重區,18,201801,2018-04-01
2018,2,2018-01-04,新北市,中和區,24,201801,2018-04-01
2018,2,2018-01-04,新北市,永和區,12,201801,2018-04-01
2018,2,2018-01-04,新北市,新莊區,13,201801,2018-04-01
2018,2,2018-01-04,新北市,新店區,17,201801,2018-04-01
2018,2,2018-01-04,新北市,樹林區,4,201801,2018-04-01
2018,2,2018-01-04,新北市,鶯歌區,1,201801,2018-04-01
2018,2,2018-01-04,新北市,三峽區,4,201801,2018-04-01
2018,2,2018-01-04,新北市,淡水區,11,201801,2018-04-01
2018,2,2018-01-04,新北市,汐止區,16,201801,2018-04-01
2018,2,2018-01-04,新北市,瑞芳區,2,201801,2018-04-01
2018,2,2018-01-04,新北市,土城區,10,201801,2018-04-01
2018,2,2018-01-04,新北市,蘆洲區,6,201801,2018-04-01
2018,2,2018-01-04,新北市,五股區,4,201801,2018-04-01
2018,2,2018-01-04,新北市,泰山區,2,201801,2018-04-01
2018,2,2018-01-04,新北市,林口區,3,201801,2018-04-01
2018,2,2018-01-04,新北市,深坑區,1,201801,2018-04-01
2018,2,2018-01-04,新北市,三芝區,4,201801,2018-04-01
2018,2,2018-01-04,新北市,八里區,4,201801,2018-04-01
2018,2,2018-01-04,新北市,金山區,1,201801,2018-04-01
2018,2,2018-01-04,新北市,萬里區,1,201801,2018-04-01
2018,2,2018-01-04,臺北市,松山區,2,201801,2018-04-01
2018,2,2018-01-04,臺北市,信義區,7,201801,2018-04-01
2018,2,2018-01-04,臺北市,大安區,8,201801,2018-04-01
2018,2,2018-01-04,臺北市,中山區,11,201801,2018-04-01
2018,2,2018-01-04,臺北市,中正區,1,201801,2018-04-01
2018,2,2018-01-04,臺北市,大同區,5,201801,2018-04-01
2018,2,2018-01-04,臺北市,萬華區,10,201801,2018-04-01
2018,2,2018-01-04,臺北市,文山區,5,201801,2018-04-01
2018,2,2018-01-04,臺北市,南港區,4,201801,2018-04-01
2018,2,2018-01-04,臺北市,內湖區,8,201801,2018-04-01
2018,2,2018-01-04,臺北市,士林區,14,201801,2018-04-01
2018,2,2018-01-04,臺北市,北投區,18,201801,2018-04-01
2018,2,2018-01-04,桃園市,桃園區,25,201801,2018-04-01
2018,2,2018-01-04,桃園市,中壢區,17,201801,2018-04-01
2018,2,2018-01-04,桃園市,平鎮區,14,201801,2018-04-01
2018,2,2018-01-04,桃園市,八德區,6,201801,2018-04-01
2018,2,2018-01-04,桃園市,楊梅區,19,201801,2018-04-01
2018,2,2018-01-04,桃園市,大溪區,2,201801,2018-04-01
2018,2,2018-01-04,桃園市,蘆竹區,8,201801,2018-04-01
2018,2,2018-01-04,桃園市,大園區,1,201801,2018-04-01
2018,2,2018-01-04,桃園市,龜山區,15,201801,2018-04-01
2018,2,2018-01-04,桃園市,龍潭區,3,201801,2018-04-01
2018,2,2018-01-04,臺中市,中區,1,201801,2018-04-01
2018,2,2018-01-04,臺中市,東區,4,201801,2018-04-01
2018,2,2018-01-04,臺中市,南區,2,201801,2018-04-01
2018,2,2018-01-04,臺中市,西區,2,201801,2018-04-01
2018,2,2018-01-04,臺中市,北區,9,201801,2018-04-01
2018,2,2018-01-04,臺中市,西屯區,15,201801,2018-04-01
