年,月,餐飲細分行業,營業額_千元,年月,日期格式
2024,05,外燴及團膳承包業,5810734.0,202405,2024-05-01
2024,05,飲料店,11091987.0,202405,2024-05-01
2024,06,餐館,70039677.0,202406,2024-06-01
2024,06,外燴及團膳承包業,5705793.0,202406,2024-06-01
2024,06,飲料店,11252723.0,202406,2024-06-01
2024,07,餐館,68932538.0,202407,2024-07-01
2024,07,外燴及團膳承包業,4798014.0,202407,2024-07-01
2024,07,飲料店,11068535.0,202407,2024-07-01
2024,08,餐館,72853588.0,202408,2024-08-01
2024,08,外燴及團膳承包業,4699160.0,202408,2024-08-01
2024,08,飲料店,11462350.0,202408,2024-08-01
2024,09,餐館,67747451.0,202409,2024-09-01
2024,09,外燴及團膳承包業,5448929.0,202409,2024-09-01
2024,09,飲料店,11065857.0,202409,2024-09-01
2024,10,餐館,65285463.0,202410,2024-10-01
2024,10,外燴及團膳承包業,5915110.0,202410,2024-10-01
2024,10,飲料店,10731999.0,202410,2024-10-01
2024,11,餐館,68932820.0,202411,2024-11-01
2024,11,外燴及團膳承包業,6219072.0,202411,2024-11-01
2024,11,飲料店,10862549.0,202411,2024-11-01
2024,12,餐館,77421090.0,202412,2024-12-01
2024,12,外燴及團膳承包業,6599113.0,202412,2024-12-01
2024,12,飲料店,11952130.0,202412,2024-12-01
2025,01,餐館,87429734.0,202501,2025-01-01
2025,01,外燴及團膳承包業,5725697.0,202501,2025-01-01
2025,01,飲料店,12456689.0,202501,2025-01-01
2025,02,餐館,67403127.0,202502,2025-02-01
2025,02,外燴及團膳承包業,5006662.0,202502,2025-02-01
2025,02,飲料店,10435352.0,202502,2025-02-01
2025,03,餐館,68399035.0,202503,2025-03-01
2025,03,外燴及團膳承包業,5883860.0,202503,2025-03-01
2025,03,飲料店,11407664.0,202503,2025-03-01
2025,04,餐館,63796700.0,202504,2025-04-01
2025,04,外燴及團膳承包業,6255073.0,202504,2025-04-01
2025,04,飲料店,11490705.0,202504,2025-04-01
2025,05,餐館,72140290.0,202505,2025-05-01
2025,05,外燴及團膳承包業,6249177.0,202505,2025-05-01
2025,05,飲料店,12027499.0,202505,2025-05-01
2025,06,餐館,67539794.0,202506,2025-06-01
2025,06,外燴及團膳承包業,6184741.0,202506,2025-06-01
2025,06,飲料店,11542187.0,202506,2025-06-01
2025,07,餐館,69256660.0,202507,2025-07-01
2025,07,外燴及團膳承包業,5415639.0,202507,2025-07-01
2025,07,飲料店,11890146.0,202507,2025-07-01
2025,08,餐館,75866072.0,202508,2025-08-01
2025,08,外燴及團膳承包業,5041370.0,202508,2025-08-01
2025,08,飲料店,12377650.0,202508,2025-08-01
2025,09,餐館,64739193.0,202509,2025-09-01
2025,09,外燴及團膳承包業,5890722.0,202509,2025-09-01
2025,09,飲料店,12305005.0,202509,2025-09-01
2025,10,餐館,70651574.0,202510,2025-10-01
2025,10,外燴及團膳承包業,6507294.0,202510,2025-10-01
2025,10,飲料店,12310947.0,202510,2025-10-01
2025,11,餐館,70611332.0,202511,2025-11-01
2025,11,外燴及團膳承包業,6502064.0,202511,2025-11-01
2025,11,飲料店,11732050.0,202511,2025-11-01
2025,12,餐館,75466065.0,202512,2025-12-01
2025,12,外燴及團膳承包業,6899228.0,202512,2025-12-01
2025,12,飲料店,12587446.0,202512,2025-12-01
2026,01,餐館,77497777.0,202601,2026-01-01
2026,01,外燴及團膳承包業,6731464.0,202601,2026-01-01
2026,01,飲料店,12473208.0,202601,2026-01-01
2026,02,餐館,83452023.0,202602,2026-02-01
2026,02,外燴及團膳承包業,4843229.0,202602,2026-02-01
2026,02,飲料店,12042381.0,202602,2026-02-01
