日期,匯率,年月KEY
2020-02-17,30.01499939,202002
2020-02-18,30.01600075,202002
2020-02-19,30.05500031,202002
2020-02-20,30.17099953,202002
2020-02-21,30.22500038,202002
2020-02-24,30.38699913,202002
2020-02-25,30.34199905,202002
2020-02-26,30.41300011,202002
2020-02-27,30.20800018,202002
2020-02-28,30.19300079,202002
2020-03-02,30.12400055,202003
2020-03-03,29.80500031,202003
2020-03-04,29.77000046,202003
2020-03-05,29.75,202003
2020-03-06,29.88400078,202003
2020-03-09,29.90099907,202003
2020-03-10,29.98500061,202003
2020-03-11,29.73999977,202003
2020-03-12,30.06900024,202003
2020-03-13,29.94799995,202003
2020-03-16,30.10700035,202003
2020-03-17,30.23600006,202003
2020-03-18,30.03000069,202003
2020-03-19,30.125,202003
2020-03-20,30.32099915,202003
2020-03-23,30.2689991,202003
2020-03-24,30.2159996,202003
2020-03-25,30.14500046,202003
2020-03-26,30.25300026,202003
2020-03-27,30.13100052,202003
2020-03-30,30.16699982,202003
2020-03-31,30.03000069,202003
2020-04-01,30.22999954,202004
2020-04-02,30.21800041,202004
2020-04-03,30.08099937,202004
2020-04-06,30.25,202004
2020-04-07,30.07999992,202004
2020-04-08,30.09700012,202004
2020-04-09,30.06699944,202004
2020-04-10,30.06699944,202004
2020-04-13,30.02599907,202004
2020-04-14,29.85000038,202004
2020-04-15,30.02099991,202004
2020-04-16,29.90500069,202004
2020-04-17,29.93700027,202004
2020-04-20,30.03499985,202004
2020-04-21,30.03000069,202004
2020-04-22,30.09600067,202004
2020-04-23,30.05400085,202004
2020-04-24,29.85499954,202004
2020-04-27,30.07900047,202004
2020-04-28,29.91300011,202004
2020-04-29,29.80500031,202004
2020-04-30,29.62999916,202004
2020-05-01,29.58499908,202005
2020-05-04,29.89299965,202005
2020-05-05,29.61000061,202005
2020-05-06,29.625,202005
2020-05-07,29.99699974,202005
2020-05-08,29.78000069,202005
2020-05-11,29.84000015,202005
2020-05-12,29.8920002,202005
2020-05-13,29.78800011,202005
2020-05-14,29.8920002,202005
2020-05-15,29.87599945,202005
2020-05-18,29.95400047,202005
2020-05-19,29.94000053,202005
2020-05-20,29.84499931,202005
2020-05-21,29.87999916,202005
2020-05-22,29.87599945,202005
2020-05-25,30.06800079,202005
2020-05-26,30.03800011,202005
2020-05-27,29.97500038,202005
2020-05-28,30.02499962,202005
2020-05-29,29.90999985,202005
2020-06-01,29.94400024,202006
2020-06-02,29.83300018,202006
2020-06-03,29.87109947,202006
2020-06-04,29.8579998,202006
2020-06-05,29.84519958,202006
2020-06-08,29.71299934,202006
2020-06-09,29.64999962,202006
2020-06-10,29.59499931,202006
2020-06-11,29.5529995,202006
2020-06-12,29.52499962,202006
2020-06-15,29.62809944,202006
2020-06-16,29.47999954,202006
2020-06-17,29.48500061,202006
2020-06-18,29.48999977,202006
2020-06-19,29.59399986,202006
2020-06-22,29.58399963,202006
2020-06-23,29.43499947,202006
2020-06-24,29.54800034,202006
2020-06-25,29.39500046,202006
2020-06-26,29.37999916,202006
2020-06-29,29.52199936,202006
2020-06-30,29.41150093,202006
2020-07-01,29.39599991,202007
2020-07-02,29.42770004,202007
2020-07-03,29.4321003,202007
