年月,年,月,行業別,用電量,年月KEY
2019-04-01,2019,4,管線運輸,3009.39990234375,201904
2019-04-01,2019,4,能源部門自用,1575480.5,201904
2019-04-01,2019,4,農業部門,229491.0,201904
2019-05-01,2019,5,全國用電量,22469640.0,201905
2019-05-01,2019,5,工業用電,12784619.0,201905
2019-05-01,2019,5,紡織成衣及服飾品製造業,522071.90625,201905
2019-05-01,2019,5,紙漿、紙及紙製品製造業,313205.59375,201905
2019-05-01,2019,5,化學材料及肥料製造業,2699127.5,201905
2019-05-01,2019,5,塑膠製品製造業,471440.3125,201905
2019-05-01,2019,5,非金屬礦物製品製造業,490891.59375,201905
2019-05-01,2019,5,基本金屬製造業,1623202.75,201905
2019-05-01,2019,5,金屬製品製造業,580975.5,201905
2019-05-01,2019,5,電子產品及電力設備製造業,4456815.5,201905
2019-05-01,2019,5,住宅用電,3520947.75,201905
2019-05-01,2019,5,服務業用電,4041492.25,201905
2019-05-01,2019,5,運輸及倉儲業,269058.8125,201905
2019-05-01,2019,5,住宿及餐飲業,623724.0,201905
2019-05-01,2019,5,出版影音及資通訊業,298129.1875,201905
2019-05-01,2019,5,金融及保險業,159078.59375,201905
2019-05-01,2019,5,不動產業,124740.5,201905
2019-05-01,2019,5,醫療保健及社會工作服務業,290659.3125,201905
2019-05-01,2019,5,藝術、娛樂及休閒服務業,110965.296875,201905
2019-05-01,2019,5,運輸用電,132238.40625,201905
2019-05-01,2019,5,公路,6314.39990234375,201905
2019-05-01,2019,5,鐵路,122676.8984375,201905
2019-05-01,2019,5,管線運輸,3247.10009765625,201905
2019-05-01,2019,5,能源部門自用,1737170.125,201905
2019-05-01,2019,5,農業部門,253172.703125,201905
2019-06-01,2019,6,全國用電量,22780988.0,201906
2019-06-01,2019,6,工業用電,12377740.0,201906
2019-06-01,2019,6,紡織成衣及服飾品製造業,484711.59375,201906
2019-06-01,2019,6,紙漿、紙及紙製品製造業,295604.09375,201906
2019-06-01,2019,6,化學材料及肥料製造業,2588256.25,201906
2019-06-01,2019,6,塑膠製品製造業,447009.0,201906
2019-06-01,2019,6,非金屬礦物製品製造業,482053.59375,201906
2019-06-01,2019,6,基本金屬製造業,1525924.25,201906
2019-06-01,2019,6,金屬製品製造業,557920.1875,201906
2019-06-01,2019,6,電子產品及電力設備製造業,4351516.5,201906
2019-06-01,2019,6,住宅用電,4090440.75,201906
2019-06-01,2019,6,服務業用電,4198287.5,201906
2019-06-01,2019,6,運輸及倉儲業,284417.1875,201906
2019-06-01,2019,6,住宿及餐飲業,655783.0,201906
2019-06-01,2019,6,出版影音及資通訊業,291644.90625,201906
2019-06-01,2019,6,金融及保險業,161579.203125,201906
2019-06-01,2019,6,不動產業,125734.5,201906
2019-06-01,2019,6,醫療保健及社會工作服務業,307386.3125,201906
2019-06-01,2019,6,藝術、娛樂及休閒服務業,118725.5,201906
2019-06-01,2019,6,運輸用電,131772.796875,201906
2019-06-01,2019,6,公路,6458.10009765625,201906
2019-06-01,2019,6,鐵路,122244.203125,201906
2019-06-01,2019,6,管線運輸,3070.39990234375,201906
2019-06-01,2019,6,能源部門自用,1720894.0,201906
2019-06-01,2019,6,農業部門,261853.703125,201906
2019-07-01,2019,7,全國用電量,24146702.0,201907
2019-07-01,2019,7,工業用電,13186971.0,201907
2019-07-01,2019,7,紡織成衣及服飾品製造業,522443.40625,201907
