西元年,區域,屬性,耗水量,年月KEY,日期格式
2016,其他,工業自備水源耗水量,3.14,201601,2016-01-01
2016,其他,公共給水耗水量,0.0,201601,2016-01-01
2016,南部,工業自備水源耗水量,159.95,201601,2016-01-01
2016,南部,公共給水耗水量,366.08,201601,2016-01-01
2017,北部,工業自備水源耗水量,172.97,201701,2017-01-01
2017,北部,公共給水耗水量,288.96,201701,2017-01-01
2017,中部,工業自備水源耗水量,425.7,201701,2017-01-01
2017,中部,公共給水耗水量,172.39,201701,2017-01-01
2017,南部,工業自備水源耗水量,162.39,201701,2017-01-01
2017,南部,公共給水耗水量,376.36,201701,2017-01-01
2017,東部,工業自備水源耗水量,50.88,201701,2017-01-01
2017,東部,公共給水耗水量,1.32,201701,2017-01-01
2017,其他,工業自備水源耗水量,3.18,201701,2017-01-01
2017,其他,公共給水耗水量,0.0,201701,2017-01-01
2018,北部,工業自備水源耗水量,163.42,201801,2018-01-01
2018,北部,公共給水耗水量,291.97,201801,2018-01-01
2018,中部,工業自備水源耗水量,430.97,201801,2018-01-01
2018,中部,公共給水耗水量,177.39,201801,2018-01-01
2018,南部,工業自備水源耗水量,187.96,201801,2018-01-01
2018,南部,公共給水耗水量,360.05,201801,2018-01-01
2018,東部,工業自備水源耗水量,51.4,201801,2018-01-01
2018,東部,公共給水耗水量,1.16,201801,2018-01-01
2018,其他,工業自備水源耗水量,3.24,201801,2018-01-01
2018,其他,公共給水耗水量,0.0,201801,2018-01-01
2019,北部,工業自備水源耗水量,169.77,201901,2019-01-01
2019,北部,公共給水耗水量,279.71,201901,2019-01-01
2019,中部,工業自備水源耗水量,437.52,201901,2019-01-01
2019,中部,公共給水耗水量,175.28,201901,2019-01-01
2019,南部,工業自備水源耗水量,207.92,201901,2019-01-01
2019,南部,公共給水耗水量,345.35,201901,2019-01-01
2019,東部,工業自備水源耗水量,51.48,201901,2019-01-01
2019,東部,公共給水耗水量,1.11,201901,2019-01-01
2019,其他,工業自備水源耗水量,3.2,201901,2019-01-01
2019,其他,公共給水耗水量,0.0,201901,2019-01-01
2019,北部,工業自備水源耗水量,169.77,201901,2019-01-01
2019,北部,公共給水耗水量,279.71,201901,2019-01-01
2019,中部,工業自備水源耗水量,437.52,201901,2019-01-01
2019,中部,公共給水耗水量,175.28,201901,2019-01-01
2019,南部,工業自備水源耗水量,207.92,201901,2019-01-01
2019,南部,公共給水耗水量,345.35,201901,2019-01-01
2019,北部,工業自備水源耗水量,51.48,201901,2019-01-01
2019,北部,公共給水耗水量,1.11,201901,2019-01-01
2019,其他,工業自備水源耗水量,3.2,201901,2019-01-01
2019,其他,公共給水耗水量,0.0,201901,2019-01-01
2020,北部,工業自備水源耗水量,302.78,202001,2020-01-01
2020,北部,公共給水耗水量,156.74,202001,2020-01-01
2020,中部,工業自備水源耗水量,443.31,202001,2020-01-01
2020,中部,公共給水耗水量,229.49,202001,2020-01-01
2020,東部,工業自備水源耗水量,20.93,202001,2020-01-01
2020,東部,公共給水耗水量,10.83,202001,2020-01-01
2020,其他,工業自備水源耗水量,2.66,202001,2020-01-01
2020,其他,公共給水耗水量,1.37,202001,2020-01-01
2020,南部,工業自備水源耗水量,418.35,202001,2020-01-01
2020,南部,公共給水耗水量,216.57,202001,2020-01-01
