年度標籤,路線方向,路段,交流道,進出口,週六,週日,週2-4,平日
112年,國3北向路段,非主線資料,關廟,出口,7819,9880,,6052.0
112年,國3北向路段,非主線資料,新化系統,出口,9245,10253,,9897.0
112年,國3北向路段,非主線資料,善化,出口,4381,4540,,4528.0
112年,國3北向路段,非主線資料,官田系統,出口,7773,8042,,6174.0
112年,國3北向路段,非主線資料,烏山頭,出口,3458,3444,,3133.0
112年,國3北向路段,非主線資料,柳營,出口,3020,2754,,3111.0
112年,國3北向路段,非主線資料,東山服務區,出口,1202,1370,,704.0
112年,國3北向路段,非主線資料,白河,出口,3648,4089,,2224.0
112年,國3北向路段,非主線資料,水上系統,出口,3283,3568,,2548.0
112年,國3北向路段,非主線資料,中埔,出口,8589,8186,,5419.0
112年,國3北向路段,非主線資料,竹崎,出口,6436,5965,,5885.0
112年,國3北向路段,非主線資料,梅山,出口,5236,4954,,4731.0
112年,國3北向路段,非主線資料,古坑服務區,出口,314,344,,252.0
112年,國3北向路段,非主線資料,古坑(南),出口,1623,1602,,1123.0
112年,國3北向路段,非主線資料,古坑(北)&古坑系統,出口,4250,4391,,3248.0
112年,國3北向路段,非主線資料,斗六,出口,4152,3910,,4005.0
112年,國3北向路段,非主線資料,南雲,出口,2412,2214,,1883.0
112年,國3北向路段,非主線資料,竹山,出口,4546,4072,,2621.0
112年,國3北向路段,非主線資料,名間,出口,2098,2313,,1820.0
112年,國3北向路段,非主線資料,南投服務區,出口,1454,1438,,1193.0
112年,國3北向路段,非主線資料,南投,出口,2695,2724,,2790.0
112年,國3北向路段,非主線資料,中興,出口,4925,4452,,4948.0
112年,國3北向路段,非主線資料,中興系統,出口,6432,6264,,5714.0
112年,國3北向路段,非主線資料,草屯,出口,3346,3675,,3371.0
112年,國3北向路段,非主線資料,霧峰系統,出口,7389,5704,,5055.0
112年,國3北向路段,非主線資料,霧峰,出口,34110,37573,,28291.0
112年,國3北向路段,非主線資料,中投,出口,11964,12274,,11275.0
112年,國3北向路段,非主線資料,烏日,出口,4722,4510,,6324.0
112年,國3北向路段,非主線資料,快官,出口,22608,23040,,23725.0
112年,國3北向路段,非主線資料,彰化系統,出口,14737,13917,,14575.0
112年,國3北向路段,非主線資料,和美,出口,13612,11733,,15359.0
112年,國3北向路段,非主線資料,龍井,出口,10444,10433,,10922.0
112年,國3北向路段,非主線資料,沙鹿,出口,9262,8497,,9931.0
112年,國3北向路段,非主線資料,清水服務區,出口,1268,1580,,844.0
112年,國3北向路段,非主線資料,中港系統,出口,7162,6391,,7853.0
112年,國3北向路段,非主線資料,大甲,出口,11001,10076,,10326.0
112年,國3北向路段,非主線資料,苑裡,出口,8284,7318,,8426.0
112年,國3北向路段,非主線資料,通霄,出口,3223,3326,,2228.0
112年,國3北向路段,非主線資料,西湖服務區,出口,472,674,,498.0
112年,國3北向路段,非主線資料,後龍,出口,3088,3821,,2864.0
112年,國3北向路段,非主線資料,大山,出口,892,1504,,809.0
112年,國3北向路段,非主線資料,竹南,出口,4947,5900,,4284.0
112年,國3北向路段,非主線資料,香山,出口,3796,3862,,5232.0
112年,國3北向路段,非主線資料,茄苳,出口,5700,6285,,5536.0
112年,國3北向路段,非主線資料,新竹系統,出口,27734,28624,,29202.0
112年,國3北向路段,非主線資料,寶山,出口,4818,4883,,7960.0
112年,國3北向路段,非主線資料,竹林,出口,6746,6321,,7356.0
112年,國3北向路段,非主線資料,關西,出口,3168,3234,,2777.0
112年,國3北向路段,非主線資料,關西服務區,出口,972,1359,,767.0
112年,國3北向路段,非主線資料,高原,出口,3203,6151,,3107.0
112年,國3北向路段,非主線資料,龍潭,出口,5876,7330,,5829.0
112年,國3北向路段,非主線資料,大溪,出口,9822,8965,,9162.0
112年,國3北向路段,非主線資料,鶯歌系統,出口,20607,18014,,21797.0
112年,國3北向路段,非主線資料,三鶯,出口,17512,16339,,18146.0
112年,國3北向路段,非主線資料,土城,出口,37462,36825,,38378.0
112年,國3北向路段,非主線資料,中和,出口,36548,35180,,34458.0
112年,國3北向路段,非主線資料,安坑,出口,26285,24816,,27005.0
112年,國3北向路段,非主線資料,新店,出口,8220,7823,,9295.0
112年,國3北向路段,非主線資料,木柵,出口,15524,13203,,15334.0
112年,國3北向路段,非主線資料,南港系統,出口,16637,12813,,10415.0
112年,國3北向路段,非主線資料,南港,出口,14817,15028,,18557.0
112年,國3北向路段,非主線資料,新台五路,出口,14512,13273,,18808.0
112年,國3北向路段,非主線資料,汐止系統,出口,29070,28477,,30927.0
112年,國3北向路段,非主線資料,瑪東系統,出口,3128,1707,,1852.0
112年,國3北向路段,非主線資料,基金,出口,22984,20300,,21683.0
112年,國5北向路段,非主線資料,羅東,出口,3133,1525,,3388.0
112年,國5北向路段,非主線資料,宜蘭(壯圍),出口,5186,2641,,5322.0
112年,國5北向路段,非主線資料,頭城,出口,5113,2298,,4742.0
112年,國5北向路段,非主線資料,坪林交控專用道,出口,464,388,,404.0
112年,國5北向路段,非主線資料,石碇,出口,3060,3836,,2605.0
112年,國5北向路段,非主線資料,南港系統,出口,35596,40540,,29654.0
112年,國1高架北向路段,非主線資料,中壢轉接道,出口,13782,14473,,15455.0
112年,國1高架北向路段,非主線資料,機場系統,出口,6134,5952,,6857.0
112年,國1高架北向路段,非主線資料,泰山轉接道,出口,33740,33244,,29797.0
112年,國1高架北向路段,非主線資料,環北,出口,25160,23843,,25318.0
112年,國1高架北向路段,非主線資料,下塔悠北上出口匝道,出口,6068,5556,,8394.0
112年,國1高架北向路段,非主線資料,堤頂,出口,17256,16150,,21485.0
112年,國1高架北向路段,非主線資料,汐止端,出口,38778,33321,,34020.0
112年,國3甲西向路段,非主線資料,萬芳,出口,17723,16606,,19062.0
112年,國3甲西向路段,非主線資料,台北端,出口,20628,18902,,22130.0
112年,國2西向路段,非主線資料,大湳,出口,22390,20562,,24001.0
112年,國2西向路段,非主線資料,南桃園,出口,18602,16590,,20005.0
112年,國2西向路段,非主線資料,機場系統,出口,48358,44261,,48777.0
112年,國2西向路段,非主線資料,大竹,出口,29940,31090,,31952.0
112年,國2西向路段,非主線資料,大園,出口,20748,18753,,23412.0
112年,國2西向路段,非主線資料,機場端,出口,28768,29684,,31119.0
112年,國4西向路段,非主線資料,潭子,出口,11421,10560,,11972.0
112年,國4西向路段,非主線資料,豐勢,出口,9400,8596,,7378.0
112年,國4西向路段,非主線資料,台中系統,出口,22515,23081,,18930.0
112年,國4西向路段,非主線資料,神岡,出口,6121,5486,,8199.0
112年,國4西向路段,非主線資料,中港系統,出口,18175,17734,,16548.0
112年,國4西向路段,非主線資料,清水端,出口,18027,15426,,18090.0
112年,國6西向路段,非主線資料,愛蘭,出口,476,473,,384.0
112年,國6西向路段,非主線資料,國姓,出口,489,609,,521.0
112年,國6西向路段,非主線資料,東草屯,出口,1082,1618,,1012.0
112年,國6西向路段,非主線資料,舊正,出口,2749,3396,,2483.0
112年,國6西向路段,非主線資料,霧峰系統,出口,24667,28329,,20446.0
112年,國8西向路段,非主線資料,新化系統,出口,4071,4062,,3645.0
112年,國8西向路段,非主線資料,新市,出口,4320,5148,,4494.0
112年,國8西向路段,非主線資料,台南系統,出口,17122,16834,,17446.0
112年,國8西向路段,非主線資料,新吉,出口,17494,15793,,18166.0
112年,國8西向路段,非主線資料,台南端,出口,10220,9810,,9734.0
112年,國10西向路段,非主線資料,燕巢系統,出口,6720,6526,,5604.0
112年,國10西向路段,非主線資料,燕巢,出口,8249,8384,,8991.0
112年,國10西向路段,非主線資料,仁武,出口,10005,9413,,10677.0
112年,國10西向路段,非主線資料,鼎金系統,出口,23683,28996,,30985.0
112年,國10西向路段,非主線資料,左營端,出口,45015,44737,,42427.0
113年,國1南向路段,非主線資料,基隆端,進口,31243,28384,,26774.0
113年,國1南向路段,非主線資料,基隆,進口,6663,5824,,7037.0
113年,國1南向路段,非主線資料,八堵,進口,9626,10092,,7615.0
113年,國1南向路段,非主線資料,大華系統,進口,26567,24553,,20948.0
113年,國1南向路段,非主線資料,五堵,進口,7192,6103,,8628.0
113年,國1南向路段,非主線資料,汐止&汐止系統,進口,21350,20002,,22060.0
113年,國1南向路段,非主線資料,東湖,進口,16417,14454,,16276.0
113年,國1南向路段,非主線資料,內湖,進口,15293,12694,,18523.0
113年,國1南向路段,非主線資料,圓山,進口,61973,56150,,61590.0
113年,國1南向路段,非主線資料,台北,進口,20919,17509,,20226.0
113年,國1南向路段,非主線資料,三重,進口,14840,13279,,12100.0
113年,國1南向路段,非主線資料,五股,進口,30492,28166,,27063.0
113年,國1南向路段,非主線資料,高公局,進口,235,253,,334.0
113年,國1南向路段,非主線資料,林口,進口,38036,30988,,43122.0
113年,國1南向路段,非主線資料,桃園,進口,38608,33662,,39528.0
113年,國1南向路段,非主線資料,機場系統,進口,25216,23071,,25098.0
113年,國1南向路段,非主線資料,中壢服務區,進口,4068,3342,,4787.0
113年,國1南向路段,非主線資料,內壢,進口,18250,16404,,18305.0
113年,國1南向路段,非主線資料,中壢,進口,8042,6876,,7499.0
113年,國1南向路段,非主線資料,平鎮系統,進口,18634,17028,,19467.0
113年,國1南向路段,非主線資料,幼獅,進口,2949,2220,,4349.0
113年,國1南向路段,非主線資料,楊梅,進口,5112,4588,,6582.0
113年,國1南向路段,非主線資料,高架楊梅端,進口,37989,33979,,30790.0
113年,國1南向路段,非主線資料,湖口,進口,14339,13824,,20851.0
113年,國1南向路段,非主線資料,竹北,進口,18554,14761,,21796.0
113年,國1南向路段,非主線資料,新竹,進口,26910,20347,,29076.0
113年,國1南向路段,非主線資料,新竹系統,進口,20653,16236,,12893.0
113年,國1南向路段,非主線資料,頭份,進口,7368,6788,,6090.0
113年,國1南向路段,非主線資料,頭屋,進口,1075,1043,,898.0
113年,國1南向路段,非主線資料,苗栗,進口,6466,6266,,5682.0
113年,國1南向路段,非主線資料,銅鑼,進口,3616,4328,,3323.0
113年,國1南向路段,非主線資料,三義,進口,4319,4613,,3205.0
113年,國1南向路段,非主線資料,后里,進口,11192,9917,,11146.0
113年,國1南向路段,非主線資料,台中系統,進口,24904,23052,,26136.0
113年,國1南向路段,非主線資料,豐原,進口,11410,9837,,12921.0
113年,國1南向路段,非主線資料,大雅,進口,11616,9096,,12546.0
113年,國1南向路段,非主線資料,台中,進口,19413,17527,,16939.0
113年,國1南向路段,非主線資料,南屯,進口,13844,11809,,13074.0
113年,國1南向路段,非主線資料,王田,進口,7957,7179,,8052.0
113年,國1南向路段,非主線資料,彰化系統,進口,35935,31144,,30286.0
113年,國1南向路段,非主線資料,彰化,進口,14404,13563,,14447.0
113年,國1南向路段,非主線資料,埔鹽系統,進口,12118,11318,,11143.0
113年,國1南向路段,非主線資料,員林,進口,3423,3043,,2762.0
113年,國1南向路段,非主線資料,北斗,進口,4286,4210,,3442.0
113年,國1南向路段,非主線資料,西螺,進口,6474,5995,,5865.0
113年,國1南向路段,非主線資料,虎尾,進口,2985,2947,,2822.0
113年,國1南向路段,非主線資料,斗南,進口,6260,5151,,6495.0
113年,國1南向路段,非主線資料,雲林系統,進口,9419,8599,,7868.0
113年,國1南向路段,非主線資料,大林,進口,2788,2446,,2961.0
113年,國1南向路段,非主線資料,民雄,進口,6076,5493,,5489.0
113年,國1南向路段,非主線資料,嘉義,進口,8502,7850,,7086.0
113年,國1南向路段,非主線資料,水上,進口,2354,2440,,1970.0
113年,國1南向路段,非主線資料,嘉義系統,進口,8842,9467,,6956.0
113年,國1南向路段,非主線資料,新營服務區,進口,1201,1122,,1141.0
113年,國1南向路段,非主線資料,新營,進口,11034,10161,,11257.0
113年,國1南向路段,非主線資料,下營系統,進口,9807,9650,,7665.0
113年,國1南向路段,非主線資料,麻豆,進口,9499,8677,,9475.0
113年,國1南向路段,非主線資料,安定,進口,5870,4766,,8548.0
113年,國1南向路段,非主線資料,台南系統,進口,23220,21278,,23777.0
113年,國1南向路段,非主線資料,永康,進口,15633,13564,,16704.0
113年,國1南向路段,非主線資料,仁德,進口,22984,21575,,20382.0
113年,國1南向路段,非主線資料,仁德系統,進口,17203,15734,,16580.0
113年,國1南向路段,非主線資料,路竹,進口,7077,6651,,7299.0
113年,國1南向路段,非主線資料,高科,進口,6464,4642,,9006.0
113年,國1南向路段,非主線資料,岡山,進口,16672,13839,,18292.0
113年,國1南向路段,非主線資料,楠梓,進口,26103,21768,,26459.0
113年,國1南向路段,非主線資料,鼎金系統,進口,51500,49774,,50450.0
113年,國1南向路段,非主線資料,中正路,進口,25568,22711,,24586.0
113年,國1南向路段,非主線資料,五甲,進口,10622,9795,,11665.0
113年,國3南向路段,非主線資料,基金,進口,21763,21248,,22104.0
113年,國3南向路段,非主線資料,瑪東系統,進口,2422,3670,,3494.0
113年,國3南向路段,非主線資料,汐止系統,進口,34023,29536,,32328.0
113年,國3南向路段,非主線資料,新台五路,進口,14038,12024,,17282.0
113年,國3南向路段,非主線資料,南港,進口,14819,13496,,19627.0
113年,國3南向路段,非主線資料,南港系統,進口,15537,17513,,11425.0
113年,國3南向路段,非主線資料,木柵,進口,15220,13444,,14625.0
113年,國3南向路段,非主線資料,新店,進口,11600,10076,,11914.0
113年,國3南向路段,非主線資料,安坑,進口,31186,27179,,29280.0
113年,國3南向路段,非主線資料,中和,進口,38400,33969,,35847.0
113年,國3南向路段,非主線資料,土城,進口,39167,35508,,38073.0
113年,國3南向路段,非主線資料,三鶯,進口,18132,16255,,17620.0
113年,國3南向路段,非主線資料,鶯歌系統,進口,22763,19991,,22691.0
113年,國3南向路段,非主線資料,大溪,進口,11994,9497,,9484.0
113年,國3南向路段,非主線資料,龍潭,進口,6638,5436,,6038.0
113年,國3南向路段,非主線資料,高原,進口,3684,3204,,3160.0
113年,國3南向路段,非主線資料,關西服務區,進口,1082,962,,797.0
113年,國3南向路段,非主線資料,關西,進口,3198,2914,,2799.0
113年,國3南向路段,非主線資料,竹林,進口,7493,6200,,7661.0
113年,國3南向路段,非主線資料,寶山,進口,6167,4507,,9845.0
113年,國3南向路段,非主線資料,新竹系統,進口,32834,26128,,31621.0
113年,國3南向路段,非主線資料,茄苳,進口,6890,5268,,5534.0
113年,國3南向路段,非主線資料,香山,進口,5216,3550,,5367.0
113年,國3南向路段,非主線資料,竹南,進口,5686,4501,,4267.0
113年,國3南向路段,非主線資料,大山,進口,1047,942,,953.0
113年,國3南向路段,非主線資料,後龍,進口,3052,3502,,2887.0
113年,國3南向路段,非主線資料,西湖服務區,進口,478,384,,483.0
113年,國3南向路段,非主線資料,通霄,進口,3788,4018,,2542.0
113年,國3南向路段,非主線資料,苑裡,進口,8521,8138,,8500.0
113年,國3南向路段,非主線資料,大甲,進口,10640,9758,,10075.0
113年,國3南向路段,非主線資料,中港系統,進口,7566,6691,,6646.0
113年,國3南向路段,非主線資料,清水服務區,進口,1000,814,,713.0
113年,國3南向路段,非主線資料,沙鹿,進口,9751,8552,,9614.0
113年,國3南向路段,非主線資料,龍井,進口,12012,10242,,11580.0
113年,國3南向路段,非主線資料,和美,進口,13752,12876,,15451.0
113年,國3南向路段,非主線資料,彰化系統,進口,14654,11643,,13387.0
113年,國3南向路段,非主線資料,快官,進口,25121,22130,,23960.0
113年,國3南向路段,非主線資料,烏日,進口,5372,4054,,6112.0
113年,國3南向路段,非主線資料,中投,進口,10009,8641,,8610.0
113年,國3南向路段,非主線資料,霧峰,進口,38443,35496,,30417.0
113年,國3南向路段,非主線資料,霧峰系統,進口,6156,7457,,4906.0
113年,國3南向路段,非主線資料,草屯,進口,4279,3094,,3295.0
113年,國3南向路段,非主線資料,中興系統,進口,6588,6148,,5168.0
113年,國3南向路段,非主線資料,中興,進口,5164,4326,,4632.0
113年,國3南向路段,非主線資料,南投,進口,2842,2594,,2790.0
113年,國3南向路段,非主線資料,南投服務區,進口,1384,1480,,1086.0
113年,國3南向路段,非主線資料,名間,進口,2122,2117,,1830.0
113年,國3南向路段,非主線資料,竹山,進口,3626,4782,,2363.0
113年,國3南向路段,非主線資料,南雲,進口,2417,2517,,1922.0
113年,國3南向路段,非主線資料,斗六,進口,4276,4318,,4029.0
113年,國3南向路段,非主線資料,古坑(北)&古坑系統,進口,4402,4422,,3032.0
113年,國3南向路段,非主線資料,古坑(南),進口,1676,1749,,1107.0
113年,國3南向路段,非主線資料,古坑服務區,進口,614,670,,372.0
113年,國3南向路段,非主線資料,梅山,進口,5318,5312,,4745.0
113年,國3南向路段,非主線資料,竹崎,進口,6856,6650,,5980.0
113年,國3南向路段,非主線資料,中埔,進口,8101,9412,,5534.0
113年,國3南向路段,非主線資料,水上系統,進口,3171,3652,,2349.0
113年,國3南向路段,非主線資料,白河,進口,3347,4223,,2170.0
113年,國3南向路段,非主線資料,東山服務區,進口,1120,1429,,691.0
113年,國3南向路段,非主線資料,柳營,進口,3055,2978,,3151.0
113年,國3南向路段,非主線資料,烏山頭,進口,3490,3400,,3103.0
113年,國3南向路段,非主線資料,官田系統,進口,8205,8711,,6678.0
113年,國3南向路段,非主線資料,善化,進口,5334,4487,,5002.0
113年,國3南向路段,非主線資料,新化系統,進口,10944,9198,,9659.0
113年,國3南向路段,非主線資料,關廟,進口,9761,8691,,6329.0
113年,國3南向路段,非主線資料,關廟服務區,進口,332,307,,318.0
113年,國3南向路段,非主線資料,田寮,進口,3357,3408,,2935.0
113年,國3南向路段,非主線資料,燕巢系統,進口,13992,12191,,13032.0
113年,國3南向路段,非主線資料,九如,進口,2864,2595,,2586.0
113年,國3南向路段,非主線資料,長治,進口,5032,4409,,4601.0
113年,國3南向路段,非主線資料,麟洛,進口,8490,7596,,7809.0
113年,國3南向路段,非主線資料,竹田系統,進口,16092,13758,,10690.0
113年,國3南向路段,非主線資料,南州,進口,477,412,,416.0
113年,國5南向路段,非主線資料,南港系統,進口,37370,30130,,26148.0
113年,國5南向路段,非主線資料,石碇,進口,4564,3104,,4058.0
113年,國5南向路段,非主線資料,坪林交控專用道,進口,722,388,,397.0
113年,國5南向路段,非主線資料,頭城,進口,5074,2750,,4304.0
113年,國5南向路段,非主線資料,宜蘭(壯圍),進口,6239,5160,,6104.0
113年,國5南向路段,非主線資料,羅東,進口,2943,2578,,3099.0
113年,國1高架南向路段,非主線資料,汐止端,進口,34629,33968,,31590.0
113年,國1高架南向路段,非主線資料,堤頂,進口,21047,17517,,24542.0
113年,國1高架南向路段,非主線資料,環北,進口,25638,23475,,23543.0
113年,國1高架南向路段,非主線資料,泰山轉接道,進口,40361,36820,,34174.0
113年,國1高架南向路段,非主線資料,機場系統,進口,7422,7441,,8019.0
113年,國1高架南向路段,非主線資料,中壢轉接道,進口,14802,12386,,15175.0
113年,國3甲東向路段,非主線資料,台北端,進口,22224,18602,,22187.0
113年,國3甲東向路段,非主線資料,萬芳,進口,16226,14236,,16312.0
113年,國2東向路段,非主線資料,機場端,進口,39977,41508,,41850.0
113年,國2東向路段,非主線資料,大園,進口,26948,23059,,30710.0
113年,國2東向路段,非主線資料,大竹,進口,25182,22615,,25120.0
113年,國2東向路段,非主線資料,機場系統,進口,45538,40667,,44785.0
113年,國2東向路段,非主線資料,南桃園,進口,18138,15104,,19130.0
113年,國2東向路段,非主線資料,大湳,進口,23446,20978,,23768.0
113年,國4東向路段,非主線資料,清水端,進口,18416,17135,,18348.0
113年,國4東向路段,非主線資料,中港系統,進口,20326,18637,,17971.0
113年,國4東向路段,非主線資料,神岡,進口,6891,5769,,9199.0
113年,國4東向路段,非主線資料,台中系統,進口,23163,19420,,18645.0
113年,國4東向路段,非主線資料,豐勢,進口,9179,8977,,7731.0
113年,國4東向路段,非主線資料,潭子,進口,12530,10896,,12957.0
113年,國6東向路段,非主線資料,霧峰系統,進口,28069,23215,,19566.0
113年,國6東向路段,非主線資料,舊正,進口,4038,2556,,2302.0
113年,國6東向路段,非主線資料,東草屯,進口,1242,1137,,1045.0
113年,國6東向路段,非主線資料,國姓,進口,454,368,,494.0
113年,國6東向路段,非主線資料,愛蘭,進口,539,412,,435.0
113年,國8東向路段,非主線資料,台南端,進口,12765,11673,,12181.0
113年,國8東向路段,非主線資料,新吉,進口,7848,7536,,6939.0
113年,國8東向路段,非主線資料,台南系統,進口,17729,16250,,16310.0
113年,國8東向路段,非主線資料,新市,進口,3835,3323,,3759.0
113年,國8東向路段,非主線資料,新化系統,進口,3880,4057,,3462.0
113年,國10東向路段,非主線資料,左營端,進口,34648,29224,,32726.0
113年,國10東向路段,非主線資料,鼎金系統,進口,25388,19829,,23628.0
113年,國10東向路段,非主線資料,仁武,進口,10680,8113,,10640.0
113年,國10東向路段,非主線資料,燕巢,進口,9060,7106,,8635.0
113年,國10東向路段,非主線資料,燕巢系統,進口,7031,5687,,5095.0
113年,國1北向路段,非主線資料,高雄端,進口,6204,5882,,9713.0
113年,國1北向路段,非主線資料,漁港路,進口,18127,15628,,21171.0
113年,國1北向路段,非主線資料,五甲,進口,2012,1711,,2604.0
113年,國1北向路段,非主線資料,五甲系統,進口,51790,50849,,46579.0
113年,國1北向路段,非主線資料,中正路,進口,9413,9031,,7913.0
113年,國1北向路段,非主線資料,高雄,進口,55539,53080,,49885.0
113年,國1北向路段,非主線資料,鼎金系統,進口,25336,23218,,22194.0
113年,國1北向路段,非主線資料,楠梓,進口,17802,15694,,18801.0
113年,國1北向路段,非主線資料,岡山,進口,6674,6008,,6867.0
113年,國1北向路段,非主線資料,高科,進口,6025,5100,,9238.0
113年,國1北向路段,非主線資料,路竹,進口,6122,5772,,5818.0
113年,國1北向路段,非主線資料,仁德系統,進口,19105,18886,,19590.0
113年,國1北向路段,非主線資料,仁德,進口,10298,9374,,10216.0
113年,國1北向路段,非主線資料,大灣,進口,16830,15566,,15494.0
113年,國1北向路段,非主線資料,永康,進口,17600,16984,,14830.0
113年,國1北向路段,非主線資料,台南系統,進口,10676,10307,,10306.0
113年,國1北向路段,非主線資料,安定,進口,3958,3381,,5190.0
113年,國1北向路段,非主線資料,麻豆,進口,5821,6119,,4994.0
113年,國1北向路段,非主線資料,下營系統,進口,4617,4870,,3849.0
113年,國1北向路段,非主線資料,新營,進口,5166,5153,,4393.0
113年,國1北向路段,非主線資料,新營服務區,進口,1949,1865,,1816.0
113年,國1北向路段,非主線資料,嘉義系統,進口,8922,8538,,7788.0
113年,國1北向路段,非主線資料,水上,進口,2945,3112,,2959.0
113年,國1北向路段,非主線資料,嘉義,進口,11525,11274,,10163.0
113年,國1北向路段,非主線資料,民雄,進口,6981,7299,,5881.0
113年,國1北向路段,非主線資料,大林,進口,4160,4276,,3643.0
113年,國1北向路段,非主線資料,雲林系統,進口,12100,12088,,10234.0
113年,國1北向路段,非主線資料,斗南,進口,5988,5491,,5021.0
113年,國1北向路段,非主線資料,虎尾,進口,4257,4196,,4013.0
113年,國1北向路段,非主線資料,西螺,進口,5644,5920,,4950.0
113年,國1北向路段,非主線資料,北斗,進口,11550,11321,,11428.0
113年,國1北向路段,非主線資料,員林,進口,12383,11818,,12214.0
113年,國1北向路段,非主線資料,埔鹽系統,進口,15857,14082,,16086.0
113年,國1北向路段,非主線資料,彰化,進口,24038,22107,,23063.0
113年,國1北向路段,非主線資料,彰化系統,進口,5180,5282,,6071.0
113年,國1北向路段,非主線資料,王田,進口,9451,8000,,11069.0
113年,國1北向路段,非主線資料,南屯,進口,13974,12244,,13951.0
113年,國1北向路段,非主線資料,台中,進口,23024,21000,,21928.0
113年,國1北向路段,非主線資料,大雅,進口,24968,22958,,21176.0
113年,國1北向路段,非主線資料,豐原,進口,10740,10213,,10887.0
113年,國1北向路段,非主線資料,台中系統,進口,14740,15823,,11855.0
113年,國1北向路段,非主線資料,后里,進口,2588,2935,,1960.0
113年,國1北向路段,非主線資料,三義,進口,4242,4891,,3936.0
113年,國1北向路段,非主線資料,銅鑼,進口,2107,2264,,2640.0
113年,國1北向路段,非主線資料,苗栗,進口,3812,4902,,3351.0
113年,國1北向路段,非主線資料,頭屋,進口,6032,6794,,5377.0
113年,國1北向路段,非主線資料,頭份,進口,15534,14812,,16547.0
113年,國1北向路段,非主線資料,新竹系統,進口,30946,31663,,33713.0
113年,國1北向路段,非主線資料,新竹,進口,31326,27784,,37456.0
113年,國1北向路段,非主線資料,竹北,進口,18262,14793,,18046.0
113年,國1北向路段,非主線資料,湖口,進口,10474,9972,,13362.0
113年,國1北向路段,非主線資料,楊梅,進口,22546,19466,,24367.0
113年,國1北向路段,非主線資料,幼獅,進口,7381,5717,,10757.0
113年,國1北向路段,非主線資料,平鎮系統,進口,29266,26135,,29488.0
113年,國1北向路段,非主線資料,中壢,進口,14154,12402,,14158.0
113年,國1北向路段,非主線資料,內壢,進口,28980,26100,,29916.0
113年,國1北向路段,非主線資料,中壢服務區,進口,2918,2428,,4062.0
113年,國1北向路段,非主線資料,機場系統,進口,45592,42176,,45998.0
113年,國1北向路段,非主線資料,桃園,進口,35955,31919,,36183.0
113年,國1北向路段,非主線資料,林口,進口,44040,38404,,47146.0
113年,國1北向路段,非主線資料,高公局,進口,346,167,,598.0
113年,國1北向路段,非主線資料,五股,進口,20818,18470,,20706.0
113年,國1北向路段,非主線資料,三重,進口,22054,19456,,21535.0
113年,國1北向路段,非主線資料,台北,進口,26212,25090,,25081.0
113年,國1北向路段,非主線資料,圓山,進口,16244,14412,,16588.0
113年,國1北向路段,非主線資料,內湖,進口,28012,24532,,27783.0
113年,國1北向路段,非主線資料,汐止&汐止系統,進口,39588,36265,,33520.0
113年,國1北向路段,非主線資料,五堵,進口,5130,4125,,6189.0
113年,國1北向路段,非主線資料,基隆,進口,7656,6452,,8172.0
113年,國3北向路段,非主線資料,大鵬灣端,進口,7501,9446,,5387.0
113年,國3北向路段,非主線資料,南州,進口,13304,17298,,10801.0
113年,國3北向路段,非主線資料,崁頂,進口,5244,5621,,4774.0
113年,國3北向路段,非主線資料,竹田系統,進口,9909,9832,,9392.0
113年,國3北向路段,非主線資料,麟洛,進口,4892,5121,,4631.0
113年,國3北向路段,非主線資料,長治,進口,4860,5317,,4126.0
113年,國3北向路段,非主線資料,屏東,進口,5732,5769,,5142.0
113年,國3北向路段,非主線資料,九如,進口,7822,8226,,7060.0
113年,國3北向路段,非主線資料,燕巢系統,進口,15943,16276,,12051.0
113年,國3北向路段,非主線資料,田寮,進口,2714,3301,,1816.0
113年,國3北向路段,非主線資料,關廟服務區,進口,428,539,,394.0
113年,國3北向路段,非主線資料,關廟,進口,10734,10692,,8975.0
113年,國3北向路段,非主線資料,新化系統,進口,13231,12646,,8758.0
113年,國3北向路段,非主線資料,善化,進口,3758,3320,,3367.0
113年,國3北向路段,非主線資料,官田系統,進口,3818,4496,,2594.0
113年,國3北向路段,非主線資料,烏山頭,進口,1006,1096,,890.0
113年,國3北向路段,非主線資料,柳營,進口,1057,1206,,896.0
113年,國3北向路段,非主線資料,東山服務區,進口,670,770,,376.0
113年,國3北向路段,非主線資料,白河,進口,2394,2948,,1671.0
113年,國3北向路段,非主線資料,水上系統,進口,8240,8286,,6785.0
113年,國3北向路段,非主線資料,中埔,進口,5925,6618,,4609.0
113年,國3北向路段,非主線資料,竹崎,進口,7528,8130,,5895.0
113年,國3北向路段,非主線資料,梅山,進口,2477,2805,,2249.0
113年,國3北向路段,非主線資料,古坑服務區,進口,641,750,,372.0
113年,國3北向路段,非主線資料,古坑(北)&古坑系統,進口,8012,8688,,5911.0
113年,國3北向路段,非主線資料,斗六,進口,5182,5181,,4284.0
113年,國3北向路段,非主線資料,南雲,進口,2650,2829,,2396.0
113年,國3北向路段,非主線資料,竹山,進口,8622,9770,,6784.0
113年,國3北向路段,非主線資料,名間,進口,9190,9443,,7936.0
113年,國3北向路段,非主線資料,南投服務區,進口,2909,3424,,2257.0
113年,國3北向路段,非主線資料,南投,進口,11025,10328,,11658.0
113年,國3北向路段,非主線資料,中興,進口,10206,9915,,11703.0
