資料期別,縣市,鄉鎮市區,住宅拍賣移轉筆數
107Q3,桃園市,,106
107Q3,桃園市,桃園區,28
107Q3,桃園市,中壢區,17
107Q3,桃園市,平鎮區,7
107Q3,桃園市,八德區,12
107Q3,桃園市,楊梅區,10
107Q3,桃園市,大溪區,3
107Q3,桃園市,蘆竹區,4
107Q3,桃園市,大園區,4
107Q3,桃園市,龜山區,9
107Q3,桃園市,龍潭區,8
107Q3,桃園市,新屋區,1
107Q3,桃園市,觀音區,3
107Q3,台中市,,49
107Q3,台中市,中區,1
107Q3,台中市,東區,4
107Q3,台中市,南區,3
107Q3,台中市,西區,1
107Q3,台中市,北區,3
107Q3,台中市,西屯區,5
107Q3,台中市,南屯區,4
107Q3,台中市,北屯區,11
107Q3,台中市,豐原區,4
107Q3,台中市,東勢區,3
107Q3,台中市,清水區,1
107Q3,台中市,沙鹿區,1
107Q3,台中市,梧棲區,1
107Q3,台中市,潭子區,1
107Q3,台中市,大雅區,1
107Q3,台中市,新社區,1
107Q3,台中市,大肚區,1
107Q3,台中市,霧峰區,2
107Q3,台中市,大里區,1
107Q3,台南市,,79
107Q3,台南市,新營區,11
107Q3,台南市,鹽水區,3
107Q3,台南市,東山區,1
107Q3,台南市,麻豆區,2
107Q3,台南市,六甲區,1
107Q3,台南市,佳里區,5
107Q3,台南市,學甲區,2
107Q3,台南市,將軍區,1
107Q3,台南市,新化區,1
107Q3,台南市,善化區,1
107Q3,台南市,仁德區,7
107Q3,台南市,關廟區,3
107Q3,台南市,永康區,7
107Q3,台南市,東區,3
107Q3,台南市,南區,9
107Q3,台南市,北區,9
107Q3,台南市,安南區,5
107Q3,台南市,安平區,4
107Q3,台南市,中西區,4
107Q3,高雄市,,189
107Q3,高雄市,鼓山區,11
107Q3,高雄市,左營區,16
107Q3,高雄市,楠梓區,11
107Q3,高雄市,三民區,14
107Q3,高雄市,新興區,1
107Q3,高雄市,苓雅區,3
107Q3,高雄市,前鎮區,3
107Q3,高雄市,小港區,2
107Q3,高雄市,鳳山區,16
107Q3,高雄市,林園區,4
107Q3,高雄市,大寮區,6
107Q3,高雄市,大樹區,2
107Q3,高雄市,大社區,3
107Q3,高雄市,仁武區,3
107Q3,高雄市,鳥松區,6
107Q3,高雄市,岡山區,7
107Q3,高雄市,橋頭區,1
107Q3,高雄市,燕巢區,1
107Q3,高雄市,阿蓮區,2
107Q3,高雄市,湖內區,4
107Q3,高雄市,茄萣區,1
107Q3,高雄市,梓官區,5
107Q3,高雄市,旗山區,63
107Q3,高雄市,美濃區,2
107Q3,高雄市,六龜區,2
107Q3,宜蘭縣,,24
107Q3,宜蘭縣,宜蘭市,4
107Q3,宜蘭縣,羅東鎮,4
107Q3,宜蘭縣,蘇澳鎮,2
107Q3,宜蘭縣,頭城鎮,7
107Q3,宜蘭縣,礁溪鄉,1
107Q3,宜蘭縣,員山鄉,1
107Q3,宜蘭縣,冬山鄉,1
107Q3,宜蘭縣,五結鄉,2
107Q3,宜蘭縣,三星鄉,1
107Q3,宜蘭縣,南澳鄉,1
107Q3,新竹縣,,46
107Q3,新竹縣,竹北市,35
107Q3,新竹縣,新埔鎮,1
107Q3,新竹縣,竹東鎮,5
107Q3,新竹縣,湖口鄉,4
107Q3,新竹縣,新豐鄉,1
107Q3,苗栗縣,,16
107Q3,苗栗縣,苗栗市,2
107Q3,苗栗縣,苑裡鎮,2
107Q3,苗栗縣,通霄鎮,1
107Q3,苗栗縣,竹南鎮,3
107Q3,苗栗縣,頭份鎮,3
107Q3,苗栗縣,後龍鎮,1
107Q3,苗栗縣,卓蘭鎮,1
107Q3,苗栗縣,公館鄉,2
107Q3,苗栗縣,南庄鄉,1
107Q3,彰化縣,,29
107Q3,彰化縣,彰化市,6
107Q3,彰化縣,鹿港鎮,1
107Q3,彰化縣,和美鎮,2
107Q3,彰化縣,北斗鎮,2
107Q3,彰化縣,員林鎮,1
107Q3,彰化縣,溪湖鎮,1
107Q3,彰化縣,田中鎮,2
107Q3,彰化縣,二林鎮,4
107Q3,彰化縣,花壇鄉,2
107Q3,彰化縣,芬園鄉,2
107Q3,彰化縣,大村鄉,1
107Q3,彰化縣,埔鹽鄉,1
107Q3,彰化縣,埔心鄉,2
