年,月,縣市,行政區,店面數,土地面積,超商密度,年月
2018,1,苗栗縣,頭屋鄉,2,52.5046,0.038092,201801
2018,1,桃園市,八德區,56,33.7111,1.661174,201801
2018,1,桃園市,大園區,25,87.3925,0.286066,201801
2018,1,桃園市,大溪區,18,105.1206,0.171232,201801
2018,1,桃園市,中壢區,119,76.52,1.555149,201801
2018,1,桃園市,平鎮區,52,47.7532,1.088932,201801
2018,1,桃園市,桃園區,107,34.8046,3.074306,201801
2018,1,桃園市,新屋區,12,85.0166,0.141149,201801
2018,1,桃園市,楊梅區,41,89.1229,0.460039,201801
2018,1,桃園市,龍潭區,37,75.2341,0.491798,201801
2018,1,桃園市,龜山區,55,72.0177,0.763701,201801
2018,1,桃園市,蘆竹區,58,75.5025,0.768186,201801
2018,1,桃園市,觀音區,14,87.9807,0.159126,201801
2018,1,高雄市,三民區,58,19.7866,2.931277,201801
2018,1,高雄市,大社區,5,26.5848,0.188077,201801
2018,1,高雄市,大寮區,24,71.04,0.337838,201801
2018,1,高雄市,大樹區,7,66.9811,0.104507,201801
2018,1,高雄市,小港區,19,45.4426,0.41811,201801
2018,1,高雄市,仁武區,25,36.0808,0.692889,201801
2018,1,高雄市,內門區,2,95.6224,0.020916,201801
2018,1,高雄市,六龜區,1,194.1584,0.00515,201801
2018,1,高雄市,左營區,36,19.3823,1.857365,201801
2018,1,高雄市,永安區,1,22.6141,0.04422,201801
2018,1,高雄市,甲仙區,1,124.034,0.008062,201801
2018,1,高雄市,杉林區,2,104.0036,0.01923,201801
2018,1,高雄市,岡山區,23,47.9421,0.479745,201801
2018,1,高雄市,林園區,12,32.286,0.371678,201801
2018,1,高雄市,阿蓮區,1,34.6164,0.028888,201801
2018,1,高雄市,前金區,13,1.8573,6.999408,201801
2018,1,高雄市,前鎮區,27,19.1207,1.412082,201801
2018,1,高雄市,美濃區,5,120.0316,0.041656,201801
2018,1,高雄市,茄萣區,5,15.7624,0.317211,201801
2018,1,高雄市,苓雅區,39,8.1522,4.783985,201801
2018,1,高雄市,梓官區,4,11.5967,0.344926,201801
2018,1,高雄市,鳥松區,13,24.5927,0.528612,201801
2018,1,高雄市,湖內區,2,20.1615,0.099199,201801
2018,1,高雄市,新興區,14,1.9764,7.083586,201801
2018,1,高雄市,楠梓區,34,25.8276,1.316421,201801
2018,1,高雄市,路竹區,11,48.4348,0.227109,201801
2018,1,高雄市,鼓山區,36,14.7523,2.440297,201801
2018,1,高雄市,旗山區,3,94.6122,0.031708,201801
2018,1,高雄市,旗津區,2,1.7341,1.153336,201801
2018,1,高雄市,鳳山區,69,26.759,2.578572,201801
2018,1,高雄市,橋頭區,5,25.9379,0.192768,201801
2018,1,高雄市,燕巢區,4,65.395,0.061167,201801
2018,1,高雄市,彌陀區,1,14.7772,0.067672,201801
2018,1,高雄市,鹽埕區,8,1.4161,5.649318,201801
2018,1,基隆市,七堵區,19,56.2659,0.337682,201801
2018,1,基隆市,中山區,12,10.5238,1.140273,201801
2018,1,基隆市,中正區,19,10.2118,1.860593,201801
2018,1,基隆市,仁愛區,21,4.2335,4.960435,201801
2018,1,基隆市,安樂區,22,18.025,1.220527,201801
2018,1,基隆市,信義區,11,10.6706,1.03087,201801
2018,1,基隆市,暖暖區,11,22.8283,0.481858,201801
2018,1,連江縣,北竿鄉,1,9.9,0.10101,201801
2018,1,連江縣,東引鄉,1,3.8,0.263158,201801
2018,1,連江縣,南竿鄉,2,10.4,0.192308,201801
2018,1,雲林縣,二崙鄉,3,59.5625,0.050367,201801
2018,1,雲林縣,口湖鄉,2,80.4612,0.024857,201801
2018,1,雲林縣,土庫鎮,3,49.0212,0.061198,201801
2018,1,雲林縣,大埤鄉,3,44.9973,0.066671,201801
2018,1,雲林縣,斗六市,28,93.7151,0.298778,201801
2018,1,雲林縣,斗南鎮,7,48.1505,0.145378,201801
2018,1,雲林縣,北港鎮,5,41.4999,0.120482,201801
2018,1,雲林縣,古坑鄉,2,166.6059,0.012004,201801
2018,1,雲林縣,四湖鄉,1,77.1189,0.012967,201801
2018,1,雲林縣,西螺鎮,10,49.7985,0.200809,201801
2018,1,雲林縣,東勢鄉,1,48.3562,0.02068,201801
2018,1,雲林縣,林內鄉,1,37.6035,0.026593,201801
2018,1,雲林縣,虎尾鎮,21,68.742,0.30549,201801
2018,1,雲林縣,崙背鄉,3,58.484,0.051296,201801
2018,1,雲林縣,麥寮鄉,8,80.1668,0.099792,201801
2018,1,雲林縣,莿桐鄉,5,50.8502,0.098328,201801
2018,1,雲林縣,臺西鄉,3,54.0983,0.055455,201801
2018,1,雲林縣,褒忠鄉,2,37.0552,0.053974,201801
2018,1,新北市,八里區,15,39.4933,0.379811,201801
2018,1,新北市,三芝區,4,65.9909,0.060614,201801
2018,1,新北市,三重區,123,16.317,7.538151,201801
2018,1,新北市,三峽區,33,191.4508,0.172368,201801
2018,1,新北市,土城區,60,29.5578,2.029921,201801
2018,1,新北市,中和區,118,20.144,5.857824,201801
2018,1,新北市,五股區,29,34.8632,0.831823,201801
2018,1,新北市,平溪區,3,71.3382,0.042053,201801
2018,1,新北市,永和區,49,5.7138,8.575729,201801
2018,1,新北市,石門區,1,51.2645,0.019507,201801
2018,1,新北市,石碇區,1,144.3498,0.006928,201801
2018,1,新北市,汐止區,64,71.2354,0.89843,201801
2018,1,新北市,坪林區,1,170.835,0.005854,201801
2018,1,新北市,林口區,39,54.1519,0.720196,201801
2018,1,新北市,板橋區,146,23.1373,6.310157,201801
2018,1,新北市,金山區,4,49.2132,0.081279,201801
2018,1,新北市,泰山區,18,19.1603,0.939443,201801
2018,1,新北市,烏來區,2,321.1306,0.006228,201801
2018,1,新北市,貢寮區,3,99.9734,0.030008,201801
2018,1,新北市,淡水區,68,70.6565,0.962403,201801
2018,1,新北市,深坑區,5,20.5787,0.24297,201801
2018,1,新北市,新店區,83,120.2255,0.690369,201801
2018,1,新北市,新莊區,94,19.7383,4.762315,201801
2018,1,新北市,瑞芳區,8,70.7336,0.1131,201801
2018,1,新北市,萬里區,2,63.3766,0.031557,201801
2018,1,新北市,樹林區,45,33.1288,1.358335,201801
2018,1,新北市,蘆洲區,57,7.4351,7.666339,201801
2018,1,新北市,鶯歌區,17,21.1248,0.804741,201801
2018,1,新竹市,北區,39,15.7267,2.479859,201801
2018,1,新竹市,東區,75,33.5768,2.233685,201801
2018,1,新竹市,香山區,23,54.8491,0.419332,201801
2018,1,新竹縣,北埔鄉,1,50.6676,0.019736,201801
2018,1,新竹縣,尖石鄉,1,527.5795,0.001895,201801
2018,1,新竹縣,竹北市,74,46.8341,1.580045,201801
2018,1,新竹縣,竹東鎮,24,53.5133,0.448487,201801
2018,1,新竹縣,芎林鄉,5,40.7858,0.122592,201801
2018,1,新竹縣,湖口鄉,33,58.4303,0.564775,201801
2018,1,新竹縣,新埔鎮,14,72.1911,0.19393,201801
2018,1,新竹縣,新豐鄉,16,46.3496,0.345203,201801
2018,1,新竹縣,橫山鄉,2,66.3502,0.030143,201801
