年月,年, 月,家用產品,銷售額(千元)
2022年11月,2022,11,瓦斯爐,244015
2022年11月,2022,11,其他家用電器及零組件,1077114
2022年12月,2022,12,家用電扇,524164
2022年12月,2022,12,電冰箱,519397
2022年12月,2022,12,排油煙機,347416
2022年12月,2022,12,熱水器,410936
2022年12月,2022,12,瓦斯爐,239265
2022年12月,2022,12,其他家用電器及零組件,1191826
2023年1月,2023,1,家用電扇,379019
2023年1月,2023,1,電冰箱,626409
2023年1月,2023,1,排油煙機,278810
2023年1月,2023,1,熱水器,414828
2023年1月,2023,1,瓦斯爐,221656
2023年1月,2023,1,其他家用電器及零組件,1014031
2023年2月,2023,2,家用電扇,399480
2023年2月,2023,2,電冰箱,298171
2023年2月,2023,2,排油煙機,222653
2023年2月,2023,2,熱水器,326883
2023年2月,2023,2,瓦斯爐,196371
2023年2月,2023,2,其他家用電器及零組件,1010476
2023年3月,2023,3,家用電扇,526011
2023年3月,2023,3,電冰箱,490017
2023年3月,2023,3,排油煙機,236062
2023年3月,2023,3,熱水器,383778
2023年3月,2023,3,瓦斯爐,206139
2023年3月,2023,3,其他家用電器及零組件,1119970
2023年4月,2023,4,家用電扇,455024
2023年4月,2023,4,電冰箱,476444
2023年4月,2023,4,排油煙機,180337
2023年4月,2023,4,熱水器,243598
2023年4月,2023,4,瓦斯爐,172861
2023年4月,2023,4,其他家用電器及零組件,958881
2023年5月,2023,5,家用電扇,604015
2023年5月,2023,5,電冰箱,575384
2023年5月,2023,5,排油煙機,207027
2023年5月,2023,5,熱水器,308242
2023年5月,2023,5,瓦斯爐,234016
2023年5月,2023,5,其他家用電器及零組件,1173085
2023年6月,2023,6,家用電扇,596513
2023年6月,2023,6,電冰箱,574785
2023年6月,2023,6,排油煙機,228725
2023年6月,2023,6,熱水器,276499
2023年6月,2023,6,瓦斯爐,229824
2023年6月,2023,6,其他家用電器及零組件,1068070
2023年7月,2023,7,家用電扇,582155
2023年7月,2023,7,電冰箱,575101
2023年7月,2023,7,排油煙機,236426
2023年7月,2023,7,熱水器,249522
2023年7月,2023,7,瓦斯爐,234830
2023年7月,2023,7,其他家用電器及零組件,1046912
2023年8月,2023,8,家用電扇,625211
2023年8月,2023,8,電冰箱,575884
2023年8月,2023,8,排油煙機,276131
2023年8月,2023,8,熱水器,276767
2023年8月,2023,8,瓦斯爐,219293
2023年8月,2023,8,其他家用電器及零組件,1090516
2023年9月,2023,9,家用電扇,529051
2023年9月,2023,9,電冰箱,424622
2023年9月,2023,9,排油煙機,244327
2023年9月,2023,9,熱水器,250635
2023年9月,2023,9,瓦斯爐,217448
2023年9月,2023,9,其他家用電器及零組件,1043640
2023年10月,2023,10,家用電扇,502411
2023年10月,2023,10,電冰箱,570339
2023年10月,2023,10,排油煙機,246270
2023年10月,2023,10,熱水器,264769
2023年10月,2023,10,瓦斯爐,183415
2023年10月,2023,10,其他家用電器及零組件,1096305
2023年11月,2023,11,家用電扇,501321
2023年11月,2023,11,電冰箱,520875
2023年11月,2023,11,排油煙機,277847
2023年11月,2023,11,熱水器,385769
2023年11月,2023,11,瓦斯爐,225196
2023年11月,2023,11,其他家用電器及零組件,1110092
2023年12月,2023,12,家用電扇,543064
2023年12月,2023,12,電冰箱,515122
2023年12月,2023,12,排油煙機,275079
2023年12月,2023,12,熱水器,376975
2023年12月,2023,12,瓦斯爐,252576
2023年12月,2023,12,其他家用電器及零組件,1180574
2024年1月,2024,1,家用電扇,542445
2024年1月,2024,1,電冰箱,595377
2024年1月,2024,1,排油煙機,325281
2024年1月,2024,1,熱水器,460529
2024年1月,2024,1,瓦斯爐,318347
2024年1月,2024,1,其他家用電器及零組件,1264143
2024年2月,2024,2,家用電扇,376753
2024年2月,2024,2,電冰箱,320325
2024年2月,2024,2,排油煙機,210655
2024年2月,2024,2,熱水器,297516
2024年2月,2024,2,瓦斯爐,249476
2024年2月,2024,2,其他家用電器及零組件,873418
2024年3月,2024,3,家用電扇,580645
2024年3月,2024,3,電冰箱,394986
2024年3月,2024,3,排油煙機,250991
2024年3月,2024,3,熱水器,419273
2024年3月,2024,3,瓦斯爐,291276
2024年3月,2024,3,其他家用電器及零組件,1130485
2024年4月,2024,4,家用電扇,628040
2024年4月,2024,4,電冰箱,452219
2024年4月,2024,4,排油煙機,211042
2024年4月,2024,4,熱水器,348660
2024年4月,2024,4,瓦斯爐,234537
2024年4月,2024,4,其他家用電器及零組件,1087310
2024年5月,2024,5,家用電扇,618923
2024年5月,2024,5,電冰箱,509095
2024年5月,2024,5,排油煙機,250483
2024年5月,2024,5,熱水器,287266
2024年5月,2024,5,瓦斯爐,217901
2024年5月,2024,5,其他家用電器及零組件,1066506
2024年6月,2024,6,家用電扇,641894
2024年6月,2024,6,電冰箱,475948
2024年6月,2024,6,排油煙機,251561
2024年6月,2024,6,熱水器,270648
2024年6月,2024,6,瓦斯爐,191528
2024年6月,2024,6,其他家用電器及零組件,970648
2024年7月,2024,7,家用電扇,695914
2024年7月,2024,7,電冰箱,554136
2024年7月,2024,7,排油煙機,253071
2024年7月,2024,7,熱水器,277596
2024年7月,2024,7,瓦斯爐,232780
2024年7月,2024,7,其他家用電器及零組件,1067040
2024年8月,2024,8,家用電扇,598489
2024年8月,2024,8,電冰箱,513120
2024年8月,2024,8,排油煙機,295211
2024年8月,2024,8,熱水器,331843
2024年8月,2024,8,瓦斯爐,245874
2024年8月,2024,8,其他家用電器及零組件,981430
2024年9月,2024,9,家用電扇,507435
2024年9月,2024,9,電冰箱,394989
2024年9月,2024,9,排油煙機,250688
2024年9月,2024,9,熱水器,302127
2024年9月,2024,9,瓦斯爐,226107
2024年9月,2024,9,其他家用電器及零組件,1018012
2024年10月,2024,10,家用電扇,539477
2024年10月,2024,10,電冰箱,537878
2024年10月,2024,10,排油煙機,270943
2024年10月,2024,10,熱水器,324930
2024年10月,2024,10,瓦斯爐,215385
2024年10月,2024,10,其他家用電器及零組件,1092576
2024年11月,2024,11,家用電扇,432791
2024年11月,2024,11,電冰箱,513341
2024年11月,2024,11,排油煙機,298828
2024年11月,2024,11,熱水器,305221
2024年11月,2024,11,瓦斯爐,218331
2024年11月,2024,11,其他家用電器及零組件,1071971
2024年12月,2024,12,家用電扇,462089
2024年12月,2024,12,電冰箱,511296
2024年12月,2024,12,排油煙機,281279
2024年12月,2024,12,熱水器,429791
2024年12月,2024,12,瓦斯爐,258009
2024年12月,2024,12,其他家用電器及零組件,1127530
2025年1月,2025,1,家用電扇,428767
2025年1月,2025,1,電冰箱,544074
2025年1月,2025,1,排油煙機,324089
2025年1月,2025,1,熱水器,461739
2025年1月,2025,1,瓦斯爐,251922
2025年1月,2025,1,其他家用電器及零組件,1038912
2025年2月,2025,2,家用電扇,370292
2025年2月,2025,2,電冰箱,275346
2025年2月,2025,2,排油煙機,249665
2025年2月,2025,2,熱水器,311632
2025年2月,2025,2,瓦斯爐,228572
2025年2月,2025,2,其他家用電器及零組件,984224
2025年3月,2025,3,家用電扇,565172
2025年3月,2025,3,電冰箱,292496
2025年3月,2025,3,排油煙機,282976
2025年3月,2025,3,熱水器,341252
2025年3月,2025,3,瓦斯爐,239776
