年,月,縣市,行政區,店面數,土地面積,超商密度
2018,1,彰化縣,伸港鄉,1,22.3268,0.044789
2018,1,彰化縣,秀水鄉,3,29.3447,0.102233
2018,1,彰化縣,和美鎮,21,39.9345,0.525861
2018,1,彰化縣,社頭鄉,8,36.1449,0.221331
2018,1,彰化縣,芳苑鄉,4,91.3827,0.043772
2018,1,彰化縣,花壇鄉,8,36.3469,0.220101
2018,1,彰化縣,芬園鄉,1,38.0204,0.026302
2018,1,彰化縣,員林市,23,40.038,0.574454
2018,1,彰化縣,埔心鄉,4,20.9526,0.190907
2018,1,彰化縣,埔鹽鄉,1,38.6081,0.025901
2018,1,彰化縣,埤頭鄉,5,42.7508,0.116957
2018,1,彰化縣,鹿港鎮,10,39.4625,0.253405
2018,1,彰化縣,溪州鄉,3,75.831,0.039562
2018,1,彰化縣,溪湖鎮,5,32.0592,0.155961
2018,1,彰化縣,彰化市,44,65.6947,0.669765
2018,1,彰化縣,福興鄉,10,49.8934,0.200427
2018,1,彰化縣,線西鄉,1,18.0856,0.055293
2018,1,臺中市,大甲區,12,58.5192,0.205061
2018,1,臺中市,大安區,2,27.4045,0.072981
2018,1,臺中市,大肚區,11,37.0024,0.297278
2018,1,臺中市,大里區,44,28.8758,1.523767
2018,1,臺中市,大雅區,16,32.4109,0.493661
2018,1,臺中市,中區,13,0.8803,14.767693
2018,1,臺中市,太平區,36,120.7473,0.298143
2018,1,臺中市,北屯區,56,62.7034,0.893094
2018,1,臺中市,北區,38,6.9376,5.477398
2018,1,臺中市,外埔區,1,42.4099,0.023579
2018,1,臺中市,石岡區,2,18.2105,0.109827
2018,1,臺中市,后里區,7,58.9439,0.118757
2018,1,臺中市,西屯區,72,39.8467,1.806925
2018,1,臺中市,西區,28,5.7042,4.908664
2018,1,臺中市,沙鹿區,18,40.4604,0.444879
2018,1,臺中市,和平區,2,1037.8199,0.001927
2018,1,臺中市,東區,13,9.2855,1.400032
2018,1,臺中市,東勢區,3,117.4065,0.025552
2018,1,臺中市,南屯區,33,31.2578,1.055737
2018,1,臺中市,南區,27,6.8101,3.964699
2018,1,臺中市,烏日區,18,43.4032,0.414716
2018,1,臺中市,神岡區,11,35.0445,0.313887
2018,1,臺中市,梧棲區,15,16.6049,0.903348
2018,1,臺中市,清水區,12,64.1709,0.187001
2018,1,臺中市,新社區,2,68.8874,0.029033
2018,1,臺中市,潭子區,19,25.8497,0.735018
2018,1,臺中市,龍井區,16,38.0377,0.420635
2018,1,臺中市,豐原區,27,41.1845,0.655586
2018,1,臺中市,霧峰區,13,98.0779,0.132548
2018,1,臺北市,士林區,65,62.3682,1.042198
2018,1,臺北市,大同區,32,5.6815,5.632315
2018,1,臺北市,大安區,83,11.3614,7.305438
2018,1,臺北市,中山區,100,13.6821,7.308819
2018,1,臺北市,中正區,61,7.6071,8.018825
2018,1,臺北市,內湖區,86,31.5787,2.723355
2018,1,臺北市,文山區,43,31.509,1.364689
2018,1,臺北市,北投區,51,56.8216,0.897546
2018,1,臺北市,松山區,64,9.2878,6.89076
2018,1,臺北市,信義區,60,11.2077,5.353462
2018,1,臺北市,南港區,39,21.8424,1.785518
