日期,年,月,日,農曆,屬性,值
2018/4/4,2018,4,4,十九,白肉雞(門市價高屏),32.3
2018/4/4,2018,4,4,十九,雞蛋(大運輸價),24.5
2018/4/5,2018,4,5,清明,白肉雞(2.0Kg以上),30.8
2018/4/5,2018,4,5,清明,白肉雞(1.75-1.95Kg),30.8
2018/4/5,2018,4,5,清明,白肉雞(門市價高屏),32.3
2018/4/5,2018,4,5,清明,雞蛋(大運輸價),24.5
2018/4/6,2018,4,6,廿一,白肉雞(2.0Kg以上),30.8
2018/4/6,2018,4,6,廿一,白肉雞(1.75-1.95Kg),30.8
2018/4/6,2018,4,6,廿一,白肉雞(門市價高屏),32.3
2018/4/6,2018,4,6,廿一,雞蛋(大運輸價),24.5
2018/4/7,2018,4,7,廿二,白肉雞(2.0Kg以上),30.8
2018/4/7,2018,4,7,廿二,白肉雞(1.75-1.95Kg),30.8
2018/4/7,2018,4,7,廿二,白肉雞(門市價高屏),32.3
2018/4/7,2018,4,7,廿二,雞蛋(大運輸價),24.5
2018/4/8,2018,4,8,廿三,白肉雞(2.0Kg以上),30.8
2018/4/8,2018,4,8,廿三,白肉雞(1.75-1.95Kg),30.8
2018/4/8,2018,4,8,廿三,白肉雞(門市價高屏),32.3
2018/4/8,2018,4,8,廿三,雞蛋(大運輸價),24.5
2018/4/9,2018,4,9,廿四,白肉雞(2.0Kg以上),30.8
2018/4/9,2018,4,9,廿四,白肉雞(1.75-1.95Kg),30.8
2018/4/9,2018,4,9,廿四,白肉雞(門市價高屏),32.3
2018/4/9,2018,4,9,廿四,雞蛋(大運輸價),24.5
