年,季,日期標準,縣市,鄉鎮市區,住宅拍賣移轉筆數
2018,3,2018/1/7,高雄市,三民區,14
2018,3,2018/1/7,高雄市,新興區,1
2018,3,2018/1/7,高雄市,苓雅區,3
2018,3,2018/1/7,高雄市,前鎮區,3
2018,3,2018/1/7,高雄市,小港區,2
2018,3,2018/1/7,高雄市,鳳山區,16
2018,3,2018/1/7,高雄市,林園區,4
2018,3,2018/1/7,高雄市,大寮區,6
2018,3,2018/1/7,高雄市,大樹區,2
2018,3,2018/1/7,高雄市,大社區,3
2018,3,2018/1/7,高雄市,仁武區,3
2018,3,2018/1/7,高雄市,鳥松區,6
2018,3,2018/1/7,高雄市,岡山區,7
2018,3,2018/1/7,高雄市,橋頭區,1
2018,3,2018/1/7,高雄市,燕巢區,1
2018,3,2018/1/7,高雄市,阿蓮區,2
2018,3,2018/1/7,高雄市,湖內區,4
2018,3,2018/1/7,高雄市,茄萣區,1
2018,3,2018/1/7,高雄市,梓官區,5
2018,3,2018/1/7,高雄市,旗山區,63
2018,3,2018/1/7,高雄市,美濃區,2
2018,3,2018/1/7,高雄市,六龜區,2
2018,3,2018/1/7,宜蘭縣,宜蘭市,4
2018,3,2018/1/7,宜蘭縣,羅東鎮,4
2018,3,2018/1/7,宜蘭縣,蘇澳鎮,2
2018,3,2018/1/7,宜蘭縣,頭城鎮,7
2018,3,2018/1/7,宜蘭縣,礁溪鄉,1
2018,3,2018/1/7,宜蘭縣,員山鄉,1
2018,3,2018/1/7,宜蘭縣,冬山鄉,1
2018,3,2018/1/7,宜蘭縣,五結鄉,2
2018,3,2018/1/7,宜蘭縣,三星鄉,1
2018,3,2018/1/7,宜蘭縣,南澳鄉,1
2018,3,2018/1/7,新竹縣,竹北市,35
2018,3,2018/1/7,新竹縣,新埔鎮,1
2018,3,2018/1/7,新竹縣,竹東鎮,5
2018,3,2018/1/7,新竹縣,湖口鄉,4
2018,3,2018/1/7,新竹縣,新豐鄉,1
2018,3,2018/1/7,苗栗縣,苗栗市,2
2018,3,2018/1/7,苗栗縣,苑裡鎮,2
2018,3,2018/1/7,苗栗縣,通霄鎮,1
2018,3,2018/1/7,苗栗縣,竹南鎮,3
2018,3,2018/1/7,苗栗縣,頭份鎮,3
2018,3,2018/1/7,苗栗縣,後龍鎮,1
2018,3,2018/1/7,苗栗縣,卓蘭鎮,1
2018,3,2018/1/7,苗栗縣,公館鄉,2
2018,3,2018/1/7,苗栗縣,南庄鄉,1
2018,3,2018/1/7,彰化縣,彰化市,6
2018,3,2018/1/7,彰化縣,鹿港鎮,1
