Stock_Name,日期,Close,High,Low,Open,Volume,Ticker
儒鴻,2023/8/4,548,549,535,535,503399,1476
儒鴻,2023/8/7,525,543,520,538,1129996,1476
儒鴻,2023/8/8,551,555,539,540,2028143,1476
儒鴻,2023/8/9,496,526,496,524,3041210,1476
儒鴻,2023/8/10,496,501,473,480.5,1617009,1476
儒鴻,2023/8/11,513,520,499,500,1251151,1476
儒鴻,2023/8/14,503,513,500,513,814011,1476
儒鴻,2023/8/15,505,515,504,515,656097,1476
儒鴻,2023/8/16,494,504,494,498,836351,1476
儒鴻,2023/8/17,493.5,497.5,487.5,490,694048,1476
儒鴻,2023/8/18,482,495,482,491.5,407367,1476
儒鴻,2023/8/21,486.5,495,479,479,625484,1476
儒鴻,2023/8/22,487.5,489,480,487.5,346978,1476
儒鴻,2023/8/23,498,500,487.5,487.5,320157,1476
儒鴻,2023/8/24,491.5,495,488,492,604867,1476
儒鴻,2023/8/25,492.5,496,488,494,686103,1476
儒鴻,2023/8/28,486.5,490,484,490,367957,1476
儒鴻,2023/8/29,505,508,487,490,960091,1476
儒鴻,2023/8/30,496,505,496,505,515986,1476
儒鴻,2023/8/31,509,509,495,495,1450151,1476
儒鴻,2023/9/1,517,520,506,512,771314,1476
儒鴻,2023/9/4,528,530,521,529,524148,1476
儒鴻,2023/9/5,524,531,519,531,303025,1476
儒鴻,2023/9/6,518,524,512,524,633630,1476
儒鴻,2023/9/7,510,517,506,514,547976,1476
儒鴻,2023/9/8,521,528,515,523,1358201,1476
儒鴻,2023/9/11,515,521,504,521,709905,1476
儒鴻,2023/9/12,515,519,511,515,320972,1476
儒鴻,2023/9/13,510,520,505,520,375100,1476
儒鴻,2023/9/14,512,519,511,519,421972,1476
儒鴻,2023/9/15,509,514,502,512,1141266,1476
儒鴻,2023/9/18,507,510,501,504,245010,1476
儒鴻,2023/9/19,505,510,504,508,314028,1476
儒鴻,2023/9/20,500,509,500,508,257978,1476
儒鴻,2023/9/21,494.5,501,494.5,500,539007,1476
儒鴻,2023/9/22,495,500,493,496,423002,1476
儒鴻,2023/9/25,499,503,497,499,261010,1476
儒鴻,2023/9/26,495,499,491.5,496.5,566886,1476
儒鴻,2023/9/27,490,498,490,494,517965,1476
儒鴻,2023/9/28,487,491.5,486.5,490,691065,1476
儒鴻,2023/10/2,500,505,489.5,492,674042,1476
儒鴻,2023/10/3,494,497.5,491,495,523040,1476
儒鴻,2023/10/4,487,493,486,493,538985,1476
儒鴻,2023/10/5,500,503,487.5,489,539067,1476
儒鴻,2023/10/6,498,501,495.5,498.5,308005,1476
儒鴻,2023/10/11,505,507,495,504,483985,1476
儒鴻,2023/10/12,504,506,497,505,372979,1476
儒鴻,2023/10/13,505,506,497.5,500,437208,1476
儒鴻,2023/10/16,498.5,508,498.5,505,207993,1476
儒鴻,2023/10/17,524,529,503,508,1341080,1476
儒鴻,2023/10/18,534,535,524,530,1302376,1476
儒鴻,2023/10/19,525,534,517,534,873260,1476
儒鴻,2023/10/20,532,534,517,520,739988,1476
儒鴻,2023/10/23,529,537,527,533,346043,1476
儒鴻,2023/10/24,525,527,517,525,414012,1476
儒鴻,2023/10/25,531,534,519,524,332079,1476
儒鴻,2023/10/26,521,531,521,524,291194,1476
儒鴻,2023/10/27,506,523,506,518,505009,1476
儒鴻,2023/10/30,515,518,501,501,309100,1476
儒鴻,2023/10/31,514,522,508,508,523986,1476
儒鴻,2023/11/1,521,527,513,518,556162,1476
儒鴻,2023/11/2,536,540,522,526,710232,1476
儒鴻,2023/11/3,562,573,556,565,1476673,1476
儒鴻,2023/11/6,565,570,551,562,838168,1476
儒鴻,2023/11/7,567,572,558,562,525367,1476
儒鴻,2023/11/8,583,588,559,561,1547605,1476
儒鴻,2023/11/9,593,595,578,582,1464251,1476
儒鴻,2023/11/10,583,595,578,590,1264108,1476
