月,年,月2,行業別,營業額(千元)
2020年9月,2020,9月,電子購物及郵購業,23699015
2020年9月,2020,9月,餐飲業,62274227
2020年10月,2020,10月,百貨公司業,46915401
2020年10月,2020,10月,超級市場業,18702288
2020年10月,2020,10月,便利商店業,29264242
2020年10月,2020,10月,零售式量販業,17285812
2020年10月,2020,10月,其他綜合商品零售業,9908944
2020年10月,2020,10月,食品、飲料及菸草製品零售業,23763879
2020年10月,2020,10月,文教育樂用品零售業,6950810
2020年10月,2020,10月,燃料及相關產品零售業,18098069
2020年10月,2020,10月,資通訊及家電設備零售業,19533554
2020年10月,2020,10月,汽機車及其零配件、用品零售業,61429522
2020年10月,2020,10月,電子購物及郵購業,24408108
2020年10月,2020,10月,餐飲業,64199770
2020年11月,2020,11月,百貨公司業,39560254
2020年11月,2020,11月,超級市場業,17219552
2020年11月,2020,11月,便利商店業,29039224
2020年11月,2020,11月,零售式量販業,17552133
2020年11月,2020,11月,其他綜合商品零售業,8611342
2020年11月,2020,11月,食品、飲料及菸草製品零售業,21655859
2020年11月,2020,11月,文教育樂用品零售業,7441112
2020年11月,2020,11月,燃料及相關產品零售業,17693788
2020年11月,2020,11月,資通訊及家電設備零售業,21486065
2020年11月,2020,11月,汽機車及其零配件、用品零售業,68842556
2020年11月,2020,11月,電子購物及郵購業,36775041
2020年11月,2020,11月,餐飲業,62363155
2020年12月,2020,12月,百貨公司業,33287034
2020年12月,2020,12月,超級市場業,18297599
2020年12月,2020,12月,便利商店業,29078085
2020年12月,2020,12月,零售式量販業,19018805
2020年12月,2020,12月,其他綜合商品零售業,9439479
2020年12月,2020,12月,食品、飲料及菸草製品零售業,23344399
2020年12月,2020,12月,文教育樂用品零售業,7847383
2020年12月,2020,12月,燃料及相關產品零售業,19375624
2020年12月,2020,12月,資通訊及家電設備零售業,21763234
2020年12月,2020,12月,汽機車及其零配件、用品零售業,64906304
2020年12月,2020,12月,電子購物及郵購業,31517569
2020年12月,2020,12月,餐飲業,69406494
2021年1月,2021,1月,百貨公司業,31342189
2021年1月,2021,1月,超級市場業,18372017
2021年1月,2021,1月,便利商店業,29874334
2021年1月,2021,1月,零售式量販業,23015806
2021年1月,2021,1月,其他綜合商品零售業,9674522
2021年1月,2021,1月,食品、飲料及菸草製品零售業,24825822
2021年1月,2021,1月,文教育樂用品零售業,7474698
2021年1月,2021,1月,燃料及相關產品零售業,20379085
2021年1月,2021,1月,資通訊及家電設備零售業,23746813
2021年1月,2021,1月,汽機車及其零配件、用品零售業,77233476
2021年1月,2021,1月,電子購物及郵購業,33816137
2021年1月,2021,1月,餐飲業,67262489
2021年2月,2021,2月,百貨公司業,31865603
2021年2月,2021,2月,超級市場業,17069442
2021年2月,2021,2月,便利商店業,28070800
2021年2月,2021,2月,零售式量販業,19258278
2021年2月,2021,2月,其他綜合商品零售業,8781507
2021年2月,2021,2月,食品、飲料及菸草製品零售業,22664446
2021年2月,2021,2月,文教育樂用品零售業,7652777
2021年2月,2021,2月,燃料及相關產品零售業,18460283
2021年2月,2021,2月,資通訊及家電設備零售業,20303525
2021年2月,2021,2月,汽機車及其零配件、用品零售業,44987207
2021年2月,2021,2月,電子購物及郵購業,27619771
2021年2月,2021,2月,餐飲業,68355101
2021年3月,2021,3月,百貨公司業,26429860
2021年3月,2021,3月,超級市場業,16360574
2021年3月,2021,3月,便利商店業,28641880
2021年3月,2021,3月,零售式量販業,17173927
2021年3月,2021,3月,其他綜合商品零售業,10525099
2021年3月,2021,3月,食品、飲料及菸草製品零售業,20317331
2021年3月,2021,3月,文教育樂用品零售業,7144210
2021年3月,2021,3月,燃料及相關產品零售業,21258816
2021年3月,2021,3月,資通訊及家電設備零售業,19904655
2021年3月,2021,3月,汽機車及其零配件、用品零售業,68940673
2021年3月,2021,3月,電子購物及郵購業,30436788
2021年3月,2021,3月,餐飲業,62633958
2021年4月,2021,4月,百貨公司業,35183430
2021年4月,2021,4月,超級市場業,16313128
2021年4月,2021,4月,便利商店業,28230533
2021年4月,2021,4月,零售式量販業,16650191
2021年4月,2021,4月,其他綜合商品零售業,11013338
2021年4月,2021,4月,食品、飲料及菸草製品零售業,20099935
2021年4月,2021,4月,文教育樂用品零售業,7319887
2021年4月,2021,4月,燃料及相關產品零售業,20899299
2021年4月,2021,4月,資通訊及家電設備零售業,21797041
2021年4月,2021,4月,汽機車及其零配件、用品零售業,59985636
2021年4月,2021,4月,電子購物及郵購業,28869857
2021年4月,2021,4月,餐飲業,63227411
2021年5月,2021,5月,百貨公司業,19711209
2021年5月,2021,5月,超級市場業,23845867
2021年5月,2021,5月,便利商店業,29631052
2021年5月,2021,5月,零售式量販業,18573275
2021年5月,2021,5月,其他綜合商品零售業,9180349
2021年5月,2021,5月,食品、飲料及菸草製品零售業,20129491
2021年5月,2021,5月,文教育樂用品零售業,5505372
2021年5月,2021,5月,燃料及相關產品零售業,19319556
2021年5月,2021,5月,資通訊及家電設備零售業,25008821
2021年5月,2021,5月,汽機車及其零配件、用品零售業,58242980
2021年5月,2021,5月,電子購物及郵購業,34821065
2021年5月,2021,5月,餐飲業,48217427
2021年6月,2021,6月,百貨公司業,8916613
2021年6月,2021,6月,超級市場業,22606695
2021年6月,2021,6月,便利商店業,27023519
2021年6月,2021,6月,零售式量販業,18090389
2021年6月,2021,6月,其他綜合商品零售業,5983535
