年月,年,月,行業別,用電量
2019年3月,2019,3,紡織成衣及服飾品製造業,502855.206
2019年3月,2019,3,紙漿、紙及紙製品製造業,303517.152
2019年3月,2019,3,化學材料及肥料製造業,2609395.56
2019年3月,2019,3,塑膠製品製造業,436832.461
2019年3月,2019,3,非金屬礦物製品製造業,487650.253
2019年3月,2019,3,基本金屬製造業,1647197.758
2019年3月,2019,3,金屬製品製造業,539475.6001
2019年3月,2019,3,電子產品及電力設備製造業,4164292.555
2019年3月,2019,3,住宅用電,3278133.29
2019年3月,2019,3,服務業用電,3432363.514
2019年3月,2019,3,運輸及倉儲業,218966.619
2019年3月,2019,3,住宿及餐飲業,517403.701
2019年3月,2019,3,出版影音及資通訊業,275705.6109
2019年3月,2019,3,金融及保險業,130697.619
2019年3月,2019,3,不動產業,107753.756
2019年3月,2019,3,醫療保健及社會工作服務業,243389.6992
2019年3月,2019,3,藝術、娛樂及休閒服務業,92420.731
2019年3月,2019,3,運輸用電,129527.122
2019年3月,2019,3,公路,5969.348
2019年3月,2019,3,鐵路,120372.388
2019年3月,2019,3,管線運輸,3185.386
2019年3月,2019,3,能源部門自用,1634252.915
2019年3月,2019,3,農業部門,219165.7157
2019年4月,2019,4,全國用電量,20715771.71
2019年4月,2019,4,工業用電,12010815.26
2019年4月,2019,4,紡織成衣及服飾品製造業,491739.323
2019年4月,2019,4,紙漿、紙及紙製品製造業,280476.851
2019年4月,2019,4,化學材料及肥料製造業,2525727.367
2019年4月,2019,4,塑膠製品製造業,436623.465
2019年4月,2019,4,非金屬礦物製品製造業,473262.823
2019年4月,2019,4,基本金屬製造業,1571238.252
2019年4月,2019,4,金屬製品製造業,549447.1822
2019年4月,2019,4,電子產品及電力設備製造業,4196175.603
2019年4月,2019,4,住宅用電,3203662.486
2019年4月,2019,4,服務業用電,3565863.032
2019年4月,2019,4,運輸及倉儲業,244086.861
2019年4月,2019,4,住宿及餐飲業,528426.918
2019年4月,2019,4,出版影音及資通訊業,272155.1106
2019年4月,2019,4,金融及保險業,136995.992
2019年4月,2019,4,不動產業,109910.9791
2019年4月,2019,4,醫療保健及社會工作服務業,263630.5598
2019年4月,2019,4,藝術、娛樂及休閒服務業,98034.702
2019年4月,2019,4,運輸用電,130459.394
2019年4月,2019,4,公路,6042.612
2019年4月,2019,4,鐵路,121407.308
2019年4月,2019,4,管線運輸,3009.474
2019年4月,2019,4,能源部門自用,1575480.509
2019年4月,2019,4,農業部門,229491.0334
2019年5月,2019,5,全國用電量,22469640.85
2019年5月,2019,5,工業用電,12784619.35
2019年5月,2019,5,紡織成衣及服飾品製造業,522071.966
2019年5月,2019,5,紙漿、紙及紙製品製造業,313205.675
2019年5月,2019,5,化學材料及肥料製造業,2699127.642
2019年5月,2019,5,塑膠製品製造業,471440.306
2019年5月,2019,5,非金屬礦物製品製造業,490891.643
